"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores 2-3 ´ 1-2 µm,","Pleurostoma ootheca_162798_8530","Ascospores","2-3 x 1-2",2.5,1.5,NA,NA,NA
"Ascospores 6.5-8 x 1.5-2 µm","Scoptria discreta_155389_46422","Ascospores","6.5-8 x 1.5-2",7.25,1.75,NA,NA,NA
"Ascospores hyaline, simple, ellipsoid, 6-11 x 3-5 µm","Lecanora scotopholis_195017_25745","Ascospores","6-11 x 3-5",8.5,4,NA,NA,NA
"ascospores (2-)4-6 (-7), ellipsoid-ovoid (-subglobose),16-26(-30) x 9.5-15(-17.5) µm.","Microsphaera hedysari_127141_29215","ascospores","),16-26(-30) x 9.5-15(-17.5)",26,15,NA,NA,NA
"Ascospores reniform, almost hat-shaped, aseptate, hyaline, invested in a sheath, 3-4 x 1-2 µm,","Ophiostoma francke-grosmanniae_18036_12229","Ascospores","3-4 x 1-2",3.5,1.5,NA,NA,NA
"Ascospores hyaline, muriform, 50-80 x 15-30 µm.","Calenia aspidota_195684_54209","Ascospores","50-80 x 15-30",65,22.5,NA,NA,NA
"Ascospores brown, oblong to reniform, occasionally septate, 12-16(-18) x 4.5-5 µm","Cryptosphaeria pullmanensis_127227_40657","Ascospores","12-16(-18) x 4.5-5",14,4.75,NA,NA,NA
"ascospores 2(-3), ellipsoid-ovoid, (15-)18-25(-28) x (10-)11-17 µm.","Erysiphe californica_127270_29162","ascospores","(15-)18-25(-28) x (10-)11-17",21.5,11,NA,NA,NA
"ascospores 5-8, ellipsoid-ovoid (-subglobose), 16-22.5 x 9-14.5 µm.","Erysiphe poeltii_127277_29097","ascospores",")16-22.5 x 9-14.5",19.25,11.75,NA,NA,NA
"Ascospores straight to s-shaped, hyaline, (38-)40-57 x 2 µm.","Lachnum abnorme_47073_61288","Ascospores","(38-)40-57 x 2",40,2,NA,NA,NA
