"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores 8 per ascus, more or less uniseriate to irregularly arranged, ellipsoid to fusiform, 5-septate, 16-20 x 5-6 µm,","Ocellularia nigririmis_544878_69354","Ascospores","16-20 x 5-6",18,5.5,NA,NA,NA
"Ascospores 8 per ascus, uniseriate, ellipsoid, muriform with 3-5 transverse and 1-2 longitudinal septa per segment, 20-28 x 7-8 µm,","Ocellularia radiata_544879_69355","Ascospores","20-28 x 7-8",24,7.5,NA,NA,NA
"Ascospores allantoid, slightly curved, subhyaline, yellowish in mass, 4-10.5 x 1.5-2.5 µm.","Diatrypella atlantica_544902_69398","Ascospores","4-10.5 x 1.5-2.5",7.25,2,NA,NA,NA
"Ascospores ellipsoid to inaequilateral, straight or slightly curved, subhyaline, yellowish in mass, 4-6.5 x 1.5-2.5 µm.","Eutypa guttulata_544910_69406","Ascospores","4-6.5 x 1.5-2.5",5.25,2,NA,NA,NA
"Ascospores allantoid, slightly curved, subhyaline, yellowish in mass, 6.5-12 x 1.5-2.5 µm.","Eutypella cearensis_544912_69407","Ascospores","6.5-12 x 1.5-2.5",9.25,2,NA,NA,NA
"Ascospores allantoid, slightly to moderately curved, subhyaline, yellowish in mass, 3.5-5.5 x 1-2 µm.","Peroneutypa diminutispora_544956_69470","Ascospores","3.5-5.5 x 1-2",4.5,1.5,NA,NA,NA
"characters-Ascospores (18-)20-24(-25) x (11.2-)12-13.8(-14.6) µm,","Morchella mediterraneensis_544971_69481","characters-Ascospores","(18-)20-24(-25) x (11.2-)12-13.8(-14.6)",22,12.9,NA,NA,NA
"Ascospores 22.5-25.5 x 12.5-15.5 µm,","Morchella fekeensis_544973_69484","Ascospores","22.5-25.5 x 12.5-15.5",24,14,NA,NA,NA
"characters-Ascospores 22.5-25.5(-27) x 12.5-15.5 µm,","Morchella fekeensis_544973_69484","characters-Ascospores","22.5-25.5(-27) x 12.5-15.5",25.5,14,NA,NA,NA
"Ascospores 24-31 x 13-21 µm,","Morchella magnispora_544974_69485","Ascospores","24-31 x 13-21",27.5,17,NA,NA,NA
"characters-Ascospores 24-31 x 13-21 µm,","Morchella magnispora_544974_69485","characters-Ascospores","24-31 x 13-21",27.5,17,NA,NA,NA
"Ascospores (21-)22-25 x (10-)12-14 µm,","Morchella conifericola_544976_69487","Ascospores","(21-)22-25 x (10-)12-14",22,12,NA,NA,NA
"characters-Ascospores (21-)22-25 x (10-) 12-14 µm,","Morchella conifericola_544976_69487","characters-Ascospores","(21-)22-25 x (10-) 12-14",22,12,NA,NA,NA
"Ascospores 150-270 x 2.5-5 µm","Lulworthia atlantica_545026_69566","Ascospores","150-270 x 2.5-5",210,3.75,NA,NA,NA
"Ascospores 10-16 x 5-6 µm,","Phyllachora nigerrima_545027_69567","Ascospores","10-16 x 5-6",13,5.5,NA,NA,NA
"Ascospores 10-15 x 4-7 µm,","Phyllachora ermidensis_545030_69572","Ascospores","10-15 x 4-7",12.5,5.5,NA,NA,NA
"Ascospores 15-19 x 5-8 µm","Phyllachora furnasensis_545031_69573","Ascospores","15-19 x 5-8",17,6.5,NA,NA,NA
"Ascospores 14-19 x 5-8 µm,","Phyllachora myrciariae_545032_69574","Ascospores","14-19 x 5-8",16.5,6.5,NA,NA,NA
"Ascospores 15-22 x 6-9 µm,","Phyllachora cerradensis_545033_69575","Ascospores","15-22 x 6-9",18.5,7.5,NA,NA,NA
"Ascospores fusoid to ellipsoid, widest in the upper third or middle, obtuse apex, partially overlapping, hyaline, aseptate, biseriate in the ascus, 19-30 x 7-11 µm","Botryosphaeria sinensia_545188_69856","Ascospores","19-30 x 7-11",24.5,9,NA,NA,NA
"ascospores allantoid with ellipsoidal sheaths (6.9-) 7.2-8.0 (-8.3) x (1.5-) 1.7-2.1 (-2.2) µm","Aureovirgo volantis_545259_69897","ascospores","(6.9-) 7.2-8.0 (-8.3) x (1.5-) 1.7-2.1 (-2.2)",7.6,1.9,NA,NA,NA
"Ascospores *(2-)2.3-3(-3.4) x (1.7-)1.9-2.3(-2.5) µm","Orbilia fissilis_545342_70019","Ascospores","*(2-)2.3-3(-3.4) x (1.7-)1.9-2.3(-2.5)",2.65,2.1,NA,NA,NA
"Ascospores allantoid, slightly to strongly curved, 17-19,5 x 4-5 µm,","Echinosphaeria curvatispora_545430_70136","Ascospores","17-19,5 x 4-5",18.25,4.5,NA,NA,NA
"ascospores 0-1-septate and pale brown. Interthecial filaments not observed. Peridial wall surface of thick-walled, dark brown textura globulosa-angularis. Hairs tapering, acute tip, up to 250x17-20 µm,","Echinosphaeria curvatispora_545430_70136","ascospores","250x17-20",250,18.5,NA,NA,NA
"Ascospores allantoid with slightly conical ends, (35-)38-54 x 7-11(-13) µm,","Echinosphaeria latispora_545431_70137","Ascospores","(35-)38-54 x 7-11(-13)",38,11,NA,NA,NA
"ascospores pale brown, seldomly 1(2-3)-septate. Interthecial filaments tapering, longer than the asci, multiseptate, base 6-8 µm","Echinosphaeria latispora_545431_70137","ascospores","6-8",7,NA,NA,NA,NA
"Ascospores ellipsoidal, long-fusiform to cylindrical, 1-septate, 6-10 x 2-3 µm,","Thyronectria atrobrunnea_545439_70145","Ascospores","6-10 x 2-3",8,2.5,NA,NA,NA
"Ascospores long-filiform, 11-27 septate, 28-70 x 2.5-3.5 µm,","Thyronectria sinensis_545446_70152","Ascospores","28-70 x 2.5-3.5",49,3,NA,NA,NA
"Ascospores accumulating in a clear white mucilaginous mass at the ascomatal apex, turning light yellow (10YR 8/8) with age. Ascospores 1-celled, orange section shaped in side view, hyaline, (3)4.4-5.2(6) x (1)1.4-1.8(2) µm.","Ophiostoma patagonicum_545565_70240","Ascospores","(3)4.4-5.2(6) x (1)1.4-1.8(2)",4.8,1.6,NA,NA,NA
"Ascospores 1-celled, orange section shaped in side view, hyaline, (3)4.4-5.2(6) x (1)1.4-1.8(2) µm.","Ophiostoma patagonicum_545565_70240","Ascospores","(3)4.4-5.2(6) x (1)1.4-1.8(2)",4.8,1.6,NA,NA,NA
"Ascospores 3-septate, narrowly ellipsoid, 13-15.3-17.5(-18.5) x 4.0-4.8-5.5 µm,","Porina rivalis_545574_70251","Ascospores","13-15.3-17.5(-18.5) x 4.0-4.8-5.5",16.4,4.8,NA,NA,NA
"Ascospores ellipsoid, in 1-spored asci 77-(101) 102 x 57-72 (74) µm,","Tuber calosporum_545582_70259","Ascospores","77-(101) 102 x 57-72 (74)",101,72,NA,NA,NA
"Ascospores are 17.7-24.5 µm,","Hydnocystis transitoria_545603_70280","Ascospores","17.7-24.5",21.1,NA,NA,NA,NA
"Ascospores usually biseriate, one-celled, almost straight or slightly allantoid, brownish, 8-10 x 2-2.5 µm.","Eutypella albomaculata_545611_70288","Ascospores","8-10 x 2-2.5",9,2.25,NA,NA,NA
"Ascospores 3-septate or with an additional vertical septum, brown, elongate-ellipsoid, 13-20(-27)x 6-9(-11) µm;","Buellia alectorialica_545662_70327","Ascospores","13-20(-27)x 6-9(-11)",20,9,NA,NA,NA
"ascospores and a thicker hymenium.  Thallus crustose, up to 25 mm wide, 0.05 mm thick to evanescent, continuous or dispersed, membranaceous; upper surface white to whitish grey or grey, smooth; prothallus not apparent; medulla white, lacking calcium oxalate (H2SO4-), I-; photobiont cells 8-17 µm","Buellia billewersii_545663_70328","ascospores","8-17",12.5,NA,NA,NA,NA
"Ascospores olive-brown to dark brown, 1-3 septate when immature, 3-septate at maturity, 17-26 x 8-11 µm,","Buellia billewersii_545663_70328","Ascospores","17-26 x 8-11",21.5,9.5,NA,NA,NA
"Ascospores Buellia-type, 1-septate, pale then dark brown, ellipsoid, 12-[15.0]-20 x 7-[8.9]-11 µm,","Buellia epiaeruginosa_545782_70429","Ascospores","12-[15.0]-20 x 7-[8.9]-11",15,8.9,NA,NA,NA
"Ascospores Physconia-then Buellia-type, 1-septate, pale then dark brown, ellipsoid, 11-[14.1]-18 x 6.5-[7.5]-10 µm,","Buellia ewersii_545783_70430","Ascospores","11-[14.1]-18 x 6.5-[7.5]-10",14.1,7.5,NA,NA,NA
"ascospores 11-18 x 6-10 µm,","Buellia macveanii_545785_70432","ascospores","11-18 x 6-10",14.5,8,NA,NA,NA
"Ascospores Physconia-then Buellia-type, 1-septate, brown to greenish-grey or olive-green, broadly ellipsoid, 10-[13.8]-18 x 6-[7.8]-11 µm,","Buellia macveanii_545785_70432","Ascospores","10-[13.8]-18 x 6-[7.8]-11",13.8,7.8,NA,NA,NA
"Ascospores of the Physconia-then Buellia-type, 1-septate, olive-green to brown, ellipsoid, 14-[16.9]-23 x 7-[9.6]-12 µm,","Buellia maficola_545786_70433","Ascospores","14-[16.9]-23 x 7-[9.6]-12",16.9,9.6,NA,NA,NA
"Ascospores briefly Physconia-type, then of the Buellia-type, 1-septate, olive-brown to brown, ellipsoid, 10-[12.9]-17 x 5-[6.6]-8 µm","Buellia mayrhoferae_545787_70434","Ascospores","10-[12.9]-17 x 5-[6.6]-8",12.9,6.6,NA,NA,NA
"Ascospores of the Callispora-then Buellia-type, 1-septate, brown to dark brown, broadly ellipsoid, 16-[22.2]-28 x 8-[9.5]-12 µm,","Buellia pannarina_545788_70435","Ascospores","16-[22.2]-28 x 8-[9.5]-12",22.2,9.5,NA,NA,NA
"Ascospores †(16.3-)17-22(-24) x (4-)4.5-5.6(-6.3) µm","Hymenoscyphus sharmae_545795_70442","Ascospores","†(16.3-)17-22(-24) x (4-)4.5-5.6(-6.3)",17,5.05,NA,NA,NA
"Ascospores 4-8/ascus, oblong to fusiform-oblong, 18-40-septate, 110-230 x 10-20 µm,","Ocellularia confundita_545839_70495","Ascospores","110-230 x 10-20",170,15,NA,NA,NA
"Ascospores (2-)4-6(-8)/ascus, oblong with rounded ends, densely muriform, 15-25 x 1-4-septate, 65-100 x 25-30 µm,","Ocellularia elixii_545840_70496","Ascospores","65-100 x 25-30",82.5,27.5,NA,NA,NA
"Ascospores 4/ascus, oblong to fusiform-oblong, 19-28-septate, 70-130 x 8-13 µm,","Ocellularia poschlodiana_545841_70497","Ascospores","70-130 x 8-13",100,10.5,NA,NA,NA
"Ascospores hyaline, ellipsoid, (10-)11-12.9-15 x (5-)6-7.6-9(-10) µm.","Tephromela granularis_545861_70516","Ascospores","(10-)11-12.9-15 x (5-)6-7.6-9(-10)",11.95,7.6,NA,NA,NA
"ascospores per ascus, 67.5-82.5 x 62.5-75 µm,","Tuber turmericum_545880_70532","ascospores","67.5-82.5 x 62.5-75",75,68.75,NA,NA,NA
"Ascospores hyaline when young, pale yellow to yellow at maturity, regularly globose, 32.5-45 µm","Tuber turmericum_545880_70532","Ascospores","32.5-45",38.75,NA,NA,NA,NA
"Ascospores at first hyaline, then becoming dark brown, unicellular, globose, prominently warted, 13-16(-18) µm.","Corynelia africana_545882_70534","Ascospores","13-16(-18)",16,NA,NA,NA,NA
"Ascospores at first hyaline, then becoming dark brown, unicellular, with thin outer wall and thick inner wall, minutely warted, 11.5-13.5 µm.","Corynelia fructigena_545883_70535","Ascospores","11.5-13.5",12.5,NA,NA,NA,NA
"Ascospores ellipsoidal, some slightly allantoid, 4.5-6 x 2-2.5 µm,","Microascus onychoides_545886_70541","Ascospores","4.5-6 x 2-2.5",5.25,2.25,NA,NA,NA
"Ascospores mostly allantoid, some clavate or ellipsoidal, 3.5-7 x 1.5-3 µm,","Microascus chinensis_545887_70542","Ascospores","3.5-7 x 1.5-3",5.25,2.25,NA,NA,NA
"Ascospores triangular with concave sides and rounded apices, 5-6 x 3.5-4 µm,","Microascus terreus_545888_70543","Ascospores","5-6 x 3.5-4",5.5,3.75,NA,NA,NA
"Ascospores reniform, 3.5-4 x 2-3 µm,","Microascus pseudolongirostris_545892_70547","Ascospores","3.5-4 x 2-3",3.75,2.5,NA,NA,NA
"Ascospores nearly lunate, 5-5.5 x 2.5 µm,","Pithoascus lunatus_545893_70548","Ascospores","5-5.5 x 2.5",5.25,2.5,NA,NA,NA
"Ascospores broadly reniform, 4-5.5 x 3.5-4 µm,","Scopulariopsis macurae_545894_70549","Ascospores","4-5.5 x 3.5-4",4.75,3.75,NA,NA,NA
"Ascospores uniseriate, partially overlapping to biseriate, especially at the base, ellipsoidal, with broadly rounded ends, pale brown, 1-septate, slightly constricted at the septum, the upper cell shorter than the lower one (4:5-2:3), smooth-walled, measuring 9.0-15.5 x 4.0-6.0 µm","Venturia orni_545897_70552","Ascospores","9.0-15.5 x 4.0-6.0",12.25,5,NA,NA,NA
"Ascospores oblong to ellipsoid, ends rounded, straight, 1-septate, slightly constricted at the supra-median septum, hyaline when young and brown at maturity, smooth, conglobed, 19.7-28.7 x 6.8-10 µm;","Lembosia dianesei_545918_70572","Ascospores","19.7-28.7 x 6.8-10",24.2,8.4,NA,NA,NA
"Ascospores 8/ascus, dark brown, irregularly biseriate, 3-septate, 22-26 x 6.5-8.5 µm,","Lithothelium immersum_545932_70586","Ascospores","22-26 x 6.5-8.5",24,7.5,NA,NA,NA
"Ascospores 8/ascus, overlapping uniseriate, 3-septate, 11-13 x 5-6 µm,","Pyrenula minutispora_545933_70587","Ascospores","11-13 x 5-6",12,5.5,NA,NA,NA
"Ascospores 8/ascus, irregularly biseriate, muriform, 7 x 0-3-distoseptate, 36-41 x 10-13 µm,","Pyrenula reebiae_545934_70588","Ascospores","36-41 x 10-13",38.5,11.5,NA,NA,NA
"Ascospores 1-septate, olive-brown then brown, ellipsoid, juvenile spores Pachysporaria-type, mature spores Buellia-type, (10-)12-18 µm","Buellia rarotongensis_546018_70650","Ascospores","(10-)12-18",12,NA,NA,NA,NA
"Ascospores of the Buellia-type, 1-septate, olive-green to brown, narrow ellipsoid, (8-)10-13(-15) µm","Gassicurtia albomarginata_546019_70651","Ascospores","(8-)10-13(-15)",11.5,NA,NA,NA,NA
"ascospores and in containing additional 4,5-dichlorolichexanthone. Thallus of scattered squamules, squamules discrete, somewhat irregular, plane to irregularly undulate, margin lobate, brown, 0.5-1.5 mm wide, up to 0.1 mm thick; prothallus black, prominent, surrounding and between squamules; medulla white, lacking calcium oxalate (H2SO4-), I-; photobiont cells 8-13 µm","Monerolechia papuensis_546020_70652","ascospores","8-13",10.5,NA,NA,NA,NA
"Ascospores 1-septate, olive-brown then brown, ellipsoid, juvenile spores Pachysporaria-type, mature spores Physconia-or rarely then Buellia-type, 12-17(-22) µm","Monerolechia papuensis_546020_70652","Ascospores","12-17(-22)",17,NA,NA,NA,NA
"Ascospores narrowly ellipsoidal to fusiform, ends more or less rounded, colourless, 1-septate, septum rarely identifiable because it is covered by a cyanophilous, circular band, (5.5-)6.5-8.5(-9) x (2-)2.5-3(-3.5) µm;","Bryocentria phaeocarpa_546054_70684","Ascospores","(5.5-)6.5-8.5(-9) x (2-)2.5-3(-3.5)",7.5,2.75,NA,NA,NA
"Ascospores narrowly ellipsoidal, sometimes slightly asymmetrical, 1-septate, not constricted at the septum, colourless, with one large guttule in each cell, (10-)11-13 x (3.5-)4-5 µm,","Bryonectria calopoda_546055_70685","Ascospores","(10-)11-13 x (3.5-)4-5",11,4,NA,NA,NA
"Ascospores narrowly ellipsoidal to cylindrical with rounded ends, 2-septate, sometimes slightly constricted at the septa, colourless, (9-)10-13.5(-14) x 3-4(-4.5) µm,","Bryonectria clandestina_546056_70686","Ascospores","(9-)10-13.5(-14) x 3-4(-4.5)",11.75,4,NA,NA,NA
"ascospores lying on the leaves germinating with an appressorium. Hyphae colourless, 2-4 µm","Bryonectria clandestina_546056_70686","ascospores","2-4",3,NA,NA,NA,NA
"Ascospores ellipsoidal to ovoid, 1-septate, colourless, (10-)11-13.5(-16) x (4.5-)5.5-6.5(-7.5) µm,","Bryonectria cyclopoda_546057_70687","Ascospores","(10-)11-13.5(-16) x (4.5-)5.5-6.5(-7.5)",12.25,6,NA,NA,NA
"Ascospores fusiform to narrowly ellipsoidal, at most slightly asymmetrical, 1-septate, not constricted at the septum, colourless, with one large guttule in each cell, 12-13.5 x 3-4 µm;","Bryonectria diplopoda_546058_70688","Ascospores","12-13.5 x 3-4",12.75,3.5,NA,NA,NA
"Ascospores subcylindrical with rounded ends, 1-septate, often slightly asymmetrical, usually a little narrowed in the central region, not constricted at the septum, colourless, with one large guttule in each cell, (9-)10-12(-13) x 3-4 µm,","Bryonectria lobopoda_546059_70689","Ascospores","(9-)10-12(-13) x 3-4",11,3.5,NA,NA,NA
"ascospores of T. capta have the following features: Asci 35-42 x 4.5-6.5 µm,","Ticonectria capta_546060_70690","ascospores","35-42 x 4.5-6.5",38.5,5.5,NA,NA,NA
"Ascospores narrowly ellipsoidal, one cell usually a little wider than the other, spore diam. at the septum sometimes slightly less than in the midst of the broader cell, (7-)7.5-10(-11.5) x 3-3.5(-4) µm;","Ticonectria capta_546060_70690","Ascospores","(7-)7.5-10(-11.5) x 3-3.5(-4)",8.75,3.5,NA,NA,NA
"Ascospores *(8.5-)9.5-12(-14) x (2-)2.5-3.5(-4) µm","Rommelaarsia flavovirens_546066_70693","Ascospores","*(8.5-)9.5-12(-14) x (2-)2.5-3.5(-4)",10.75,3,NA,NA,NA
"Ascospores globose, on average with ornamentation 18 µm","Pachyphlodes nemoralis_546187_70744","Ascospores","18",18,NA,NA,NA,NA
"Ascospores ellipsoid, hyaline, thin-walled, non-halonate, 10-12.5-15(-16) x 4.5-5.3-6 µm,","Lecania maritima_546195_70751","Ascospores","10-12.5-15(-16) x 4.5-5.3-6",13.75,5.3,NA,NA,NA
"Ascospores ellipsoid, hyaline, thin-walled, non-halonate, 10-12.3-14.5(-15) x 4-4.9-5.5(-6) µm,","Lecania polycarpa_546196_70752","Ascospores","10-12.3-14.5(-15) x 4-4.9-5.5(-6)",13.4,5.2,NA,NA,NA
"Ascospores with inconspicuous guttules, globose, smooth, (16) 19-26 µm,","Paurocotylis patagonica_546229_70782","Ascospores","(16) 19-26",19,NA,NA,NA,NA
"Ascospores (21.0-)24.5-31.3(-35.7) x (8.3-)9.0-11.2(-13.5) µm,","Lepteutypa sambuci_546236_70788","Ascospores","(21.0-)24.5-31.3(-35.7) x (8.3-)9.0-11.2(-13.5)",27.9,10.1,NA,NA,NA
"Ascospores (23.3-)26.7-31.5(-36) x (8.0-)9.5-12.0(-14.5) µm,","Requienella fraxini_546237_70789","Ascospores","(23.3-)26.7-31.5(-36) x (8.0-)9.5-12.0(-14.5)",29.1,10.75,NA,NA,NA
"Ascospores (15.2-)17.5-22.5(-26.5) x (7.2-)8.0-9.0(-9.7) µm,","Hymenopleella hippophaëicola_546238_70790","Ascospores","(15.2-)17.5-22.5(-26.5) x (7.2-)8.0-9.0(-9.7)",20,8.5,NA,NA,NA
"Ascospores elongate-clavate, subfusiform to fusiform, narrowed to basal end, sometimes slightly curved, (49-)76.5-81.5(-93.5) x (5.5-)6-6.5(-9.5) µm","Geoglossum raitviirii_546242_70795","Ascospores","(49-)76.5-81.5(-93.5) x (5.5-)6-6.5(-9.5)",79,6.25,NA,NA,NA
"Ascospores 8 per ascus, 0-1(-2)-septate, ovoid, ellipsoid or oblong, 6-12 x 3·5-4·5 µm.","Micarea soralifera_546246_70799","Ascospores","6-12 x 3·5-4·5",9,4,NA,NA,NA
"Ascospores ellipsoid to narrowly ellipsoid, spiny-recticulate, yellowish brown at maturity, excluding their spiny-recticulate ornamentation, in one-spore asci 22-45 x 20-28 µm,","Tuber lannaense_546290_70848","Ascospores","22-45 x 20-28",33.5,24,NA,NA,NA
"ascospores ellipsoid-ovoid, (20-)25-35 x 14-22 µm,","Phyllactinia syringae_546295_70852","ascospores","(20-)25-35 x 14-22",25,18,NA,NA,NA
"Ascospores hyaline, ellipsoidal, richly muriform, 50-80 x 20-30 µm,","Fissurina hemithecioides_546321_70885","Ascospores","50-80 x 20-30",65,25,NA,NA,NA
"Ascospores uniseriate, smooth, usually ellipsoidal, sometimes irregularly oblong, straight to slightly curved, 8-17 (-22) x 4-7.5 (-10) µm,","Neopestalotiopsis pernambucana_546327_70891","Ascospores","8-17 (-22) x 4-7.5 (-10)",17,7.5,NA,NA,NA
"Ascospores bi-to triseriate, fusoid, hyaline, smooth, guttulate, with minute fine guttules concentrated at polar ends of each cell, 1-septate, prominently constricted at septum, bending at maturity, surrounded by a prominent mucoid sheath, 2-4 µm","Semifissispora natalis_546336_70897","Ascospores","2-4",3,NA,NA,NA,NA
"Ascospores tri-to multiseriate, obovoid, hyaline, granular, smooth, aseptate with non-persistant mucoid sheath, (19-)20-22(-24)x (5.5-)6-7(-8) µm.","Pseudobeltrania ocoteae_546350_70909","Ascospores","(19-)20-22(-24)x (5.5-)6-7(-8)",21,6.5,NA,NA,NA
"Ascospores about 49 µm.","Laboulbenia flexuosa_546375_70922","Ascospores","49",49,NA,NA,NA,NA
"Ascospores 90 µm.","Laboulbenia megascelidis_546377_70924","Ascospores","90",90,NA,NA,NA,NA
"Ascospores 80-85 µm.","Laboulbenia polyxena_546378_70925","Ascospores","80-85",82.5,NA,NA,NA,NA
"Ascospores brown to dark brown, unicellular, ellipsoid-inequilateral, with narrowly rounded ends, slightly curved, 7.4-8.9 (9.7) x 3.2-4.2 µm","Hypoxylon lilloi_546392_70946","Ascospores","7.4-8.9 (9.7) x 3.2-4.2",8.9,3.7,NA,NA,NA
"Ascospores 1-septate, soleiform, hyaline to light brownish when young and brown when over-mature, (9-)10.7 +- 1.0(-14) x (3-)3.8 +- 0.8(-5.5) µm","Sphaerellothecium aculeatae_546397_70951","Ascospores","(9-)10.7 +- 1.0(-14) x (3-)3.8 +- 0.8(-5.5)",10.7,3.8,NA,NA,NA
"ascospores with smooth walls, halonate, with perispore c. 1 µm","Sphaerellothecium aculeatae_546397_70951","ascospores",". 1",1,NA,NA,NA,NA
"ascospores brownish to dark brown, without halo, smooth to rarely slightly granulate, 1(-2)-septate, slightly constricted at the base and becoming strongly pigmented after disintegration of ascus walls, (10.3-)10.8 +- 0.4(-11.3) x (4.8-)5.1 +-  0.3(-5.5) µm","Sphaerellothecium aculeatae_546397_70951","ascospores","(10.3-)10.8 +- 0.4(-11.3) x (4.8-)5.1 +0.3(-5.5)",10.8,NA,NA,NA,NA
"Ascospores obliquely biseriate, 4-celled, slightly apiculate on both ends, hyaline when young, becoming brown to dark brown when mature, 17.5-20.5 x 3-3.5 µm,","Sporormiella longicolla_546433_71004","Ascospores","17.5-20.5 x 3-3.5",19,3.25,NA,NA,NA
"Ascospores (18.5-)19-22.5 x 6.0-7.0(-8.0) µm","Atractospora decumbens_546436_71007","Ascospores","(18.5-)19-22.5 x 6.0-7.0(-8.0)",19,7,NA,NA,NA
"Ascospores (18-)19-23 x 7.0-8.0 µm","Atractospora reticulata_546437_71008","Ascospores","(18-)19-23 x 7.0-8.0",19,7.5,NA,NA,NA
"Ascospores 19-23 x 6.0-7.0 µm","Atractospora verruculosa_546438_71009","Ascospores","19-23 x 6.0-7.0",21,6.5,NA,NA,NA
"Ascospores 14.5-16.5(-17) x 6.0-7.5 µm","Rubellisphaeria abscondita_546441_71011","Ascospores","14.5-16.5(-17) x 6.0-7.5",16.5,6.75,NA,NA,NA
"Ascospores 14-17(-18.5) x 4.5-5.0(-5.5) µm","Myrmecridium montsegurinum_546442_71012","Ascospores","14-17(-18.5) x 4.5-5.0(-5.5)",17,5,NA,NA,NA
"ascospores 14-16 x 5.5-10 µm;","Caloplaca zeorina_546469_71053","ascospores","14-16 x 5.5-10",15,7.75,NA,NA,NA
"ascospores ellipsoidal or globose, 7.5-15 x 7.5-10 µm,","Verrucaria eminens_546471_71055","ascospores","7.5-15 x 7.5-10",11.25,8.75,NA,NA,NA
"Ascospores 21-26.3 (-27.2) x 9.51-12.3 (-13.2) µm","Peziza montirivicola_546510_71087","Ascospores","21-26.3 (-27.2) x 9.51-12.3 (-13.2)",26.3,12.3,NA,NA,NA
"ascospores of 74-90 x 25-34 µm.","Astrothelium curvatum_546543_71117","ascospores","74-90 x 25-34",82,29.5,NA,NA,NA
"ascospores 3-septate, 35-40 x 11-13 µm.","Astrothelium globosum_546544_71118","ascospores","35-40 x 11-13",37.5,12,NA,NA,NA
"ascospores muriform, 60-66 x 12-16 µm.","Astrothelium graphicum_546545_71119","ascospores","60-66 x 12-16",63,14,NA,NA,NA
"ascospores of 65-85 x 16-19 µm.","Astrothelium macrostomum_546547_71121","ascospores","65-85 x 16-19",75,17.5,NA,NA,NA
"ascospores of 117-125 x 17-21 µm.","Astrothelium megeustomum_546548_71122","ascospores","117-125 x 17-21",121,19,NA,NA,NA
"ascospores 22-27 x 7-9 µm.","Astrothelium rubrocrystallinum_546550_71124","ascospores","22-27 x 7-9",24.5,8,NA,NA,NA
"ascospores of 32-37 x 10-13 µm.","Polymeridium endoflavens_546554_71128","ascospores","32-37 x 10-13",34.5,11.5,NA,NA,NA
"ascospores of 57-70 x 12-14 µm.","Polymeridium longiflavens_546555_71129","ascospores","57-70 x 12-14",63.5,13,NA,NA,NA
"ascospores of 115-135 x 29-36 µm","Astrothelium curvisporum_546559_71133","ascospores","115-135 x 29-36",125,32.5,NA,NA,NA
"ascospores (7-)9-11-septate, fusiform, 50-65 x 11-17 µm.","Astrothelium decemseptatum_546560_71134","ascospores","50-65 x 11-17",57.5,14,NA,NA,NA
"ascospores 3-septate, (27-)29-33 x (8-)12-14 µm.","Astrothelium disjunctum_546561_71135","ascospores","(27-)29-33 x (8-)12-14",29,12,NA,NA,NA
"ascospores 45-55 x 11-15 µm.","Astrothelium duplicatum_546562_71136","ascospores","45-55 x 11-15",50,13,NA,NA,NA
"ascospores of 65-70 x 15-17 µm.","Astrothelium eumultiseptatum_546563_71137","ascospores","65-70 x 15-17",67.5,16,NA,NA,NA
"ascospores of 37-45 x 15-19 µm.","Astrothelium eustomurale_546564_71138","ascospores","37-45 x 15-19",41,17,NA,NA,NA
"ascospores 110-350 x 20-27 µm","Astrothelium flavoduplex_546566_71140","ascospores","110-350 x 20-27",230,23.5,NA,NA,NA
"ascospores of 165-200 x 28-35 µm,","Astrothelium flavomurisporum_546567_71141","ascospores","165-200 x 28-35",182.5,31.5,NA,NA,NA
"ascospores of 16-18 x 6-7 µm.","Astrothelium flavum_546569_71143","ascospores","16-18 x 6-7",17,6.5,NA,NA,NA
"ascospores 90-100 x 20-23 µm","Astrothelium mesoduplex_546570_71144","ascospores","90-100 x 20-23",95,21.5,NA,NA,NA
"ascospores 11-15-septate, 90-125 x 20-27 µm.","Astrothelium robustosporum_546579_71153","ascospores","90-125 x 20-27",107.5,23.5,NA,NA,NA
"ascospores 33-36 x 10-11 µm.","Astrothelium solitarium_546580_71154","ascospores","33-36 x 10-11",34.5,10.5,NA,NA,NA
"ascospores 8/ascus, muriform, 50-65 x 23-27 µm.","Astrothelium testudineum_546585_71159","ascospores","50-65 x 23-27",57.5,25,NA,NA,NA
"ascospores muriform, 130-160 x 28-35 µm.","Astrothelium xanthosuperbum_546586_71160","ascospores","130-160 x 28-35",145,31.5,NA,NA,NA
"ascospores (Figs 63D; 64E,F). Empty collapsed asci appearing pale brown (Fig. 63D). Ascospores: initially hyaline and densely vacuolar (Figs 63B; 64E-G), finally becoming light brown (6E7). Most ascospores fusiform in one view and slightly flattened in another but some considerable variation in shape seen within any perithecium, 1-3 septate, (28-)30-41 x (8-)10-12 µm","Echinosphaeria striatispora_546591_71165","ascospores","(28-)30-41 x (8-)10-12",30,10,NA,NA,NA
"ascospores fusiform in one view and slightly flattened in another but some considerable variation in shape seen within any perithecium, 1-3 septate, (28-)30-41 x (8-)10-12 µm","Echinosphaeria striatispora_546591_71165","ascospores","(28-)30-41 x (8-)10-12",30,10,NA,NA,NA
