"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Claroideoglomus_hanlinii",NA,"Claroideoglomeraceae","Glomerales",45,71,71,90,45,71,71,90,NA,71,71,67.5,67.5,187401.761373163,161031.167189083,"Micrometers","Cubic micrometers","Glomeromycota",3959.19214168654,"Azygospores"
"Claroideoglomus_lamellosum","Glomus_lamellosum","Claroideoglomeraceae","Glomerales",98,106,142,142,122,122,162,162,"globose to irregular",124,142,120,142,1143221.37785112,1070654.7763434,"Micrometers","Cubic micrometers","Glomeromycota",13829.2908611023,"Azygospores"
"Claroideoglomus_luteum","Glomus_luteum","Claroideoglomeraceae","Glomerales",60,60,180,180,60,60,180,180,"globose to subglobose",120,120,120,120,904778.68423386,904778.68423386,"Micrometers","Cubic micrometers","Glomeromycota",11309.7335529233,"Azygospores"
"Claroideoglomus_walkeri","Glomus_walkeri","Claroideoglomeraceae","Glomerales",55,81,81,95,55,81,81,95,"globose to subglobose",81,81,75,75,278261.856902736,220893.233455532,"Micrometers","Cubic micrometers","Glomeromycota",5152.99735005066,"Azygospores"
"Corymbiglomus_corymbiforme","Glomus_corymbiforme","Diversisporaceae","Diversisporales",50,142,142,220,50,142,142,220,"globose to subglobose",142,142,135,135,1499214.0909853,1288249.33751266,"Micrometers","Cubic micrometers","Glomeromycota",15836.7685667461,"Azygospores"
"Corymbiglomus_globiferum","Glomus_globiferum","Diversisporaceae","Diversisporales",150,150,260,260,150,150,270,270,"globose to subglobose",205,210,205,210,4620890.09434889,4620890.09434889,"Micrometers","Cubic micrometers","Glomeromycota",33811.3909342601,"Azygospores"
"Corymbiglomus_pacificum",NA,"Diversisporaceae","Diversisporales",85,95,130,135,75,85,125,131,NA,105,112.5,103,110,649426.106359265,611034.535135459,"Micrometers","Cubic micrometers","Glomeromycota",9277.51580513236,"Azygospores"
"Corymbiglomus_tortuosum","Glomus_tortuosum","Diversisporaceae","Diversisporales",94,94,180,180,112,112,130,130,"globose to subglobose",121,137,121,137,1050243.32527425,1050243.32527425,"Micrometers","Cubic micrometers","Glomeromycota",13019.5453546395,"Azygospores"
"Dentiscutata_colliculosa",NA,"","Diversisporales",330,330,570,570,330,330,570,570,NA,450,450,450,450,47712938.426395,47712938.426395,"Micrometers","Cubic micrometers","Glomeromycota",159043.128087983,"Azygospores"
"Dentiscutata_erythropus","Gigaspora_erythropus Scutellospora_erythropus Quatunica_erythropus","Gigasporaceae","Diversisporales",170,221,364,551,205,205,314,660,"variable",259.5,292.5,360.5,432.5,10313337.1911814,29430339.5133141,"Micrometers","Cubic micrometers","Glomeromycota",59614.6658449791,"Azygospores"
