names_to_use,simpleFunct,taxon,disease,simpleFunct,citationSource,,,,notes,,,
Polythrincium trifolii,Plant Pathogen undefined,Phyllachora trifolii,blotch_diseases,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/RedClover.aspx,,,,,,,
Polythrincium trifolii,Plant Pathogen undefined,Sphaeria trifolii,blotch_diseases,Plant necrotroph,NA,,,,,,,
Polythrincium trifolii,Plant Pathogen undefined,Sphaerella killianii,blotch_diseases,Plant necrotroph,NA,,,,,,,
Polythrincium trifolii,Plant Pathogen undefined,Didymella trifoliorum,blotch_diseases,Plant necrotroph,NA,,,,,,,
Polythrincium trifolii,Plant Pathogen undefined,Dothidea trifolii,blotch_diseases,Plant necrotroph,NA,,,,,,,
Polythrincium trifolii,Plant Pathogen undefined,Placosphaeria trifolii,blotch_diseases,Plant necrotroph,NA,,,,,,,
Polythrincium trifolii,Plant Pathogen undefined,Polystigma trifolii,blotch_diseases,Plant necrotroph,NA,,,,,,,
Pseudocercospora calospilea,Plant Pathogen undefined,Pseudocercospora calospilea,spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Passionfruit.aspx,,,,,,,
Pseudocercospora calospilea,Plant Pathogen undefined,Cercospora calospilea,spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Passionfruit.aspx,,,,,,,
Pseudoepicoccum cocos,Plant Pathogen undefined,Pseudoepicoccum cocos,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/CoconutPalm.aspx,,,,,,,
Pseudoepicoccum cocos,Plant Pathogen undefined,Epicoccum cocos,leaf_spots,Plant necrotroph,NA,,,,,,,
Puccinia brachypodii,Plant Pathogen undefined,Puccinia brachypodii var. poae-nemoralis,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Turfgrasses.aspx,,,,,,,
Puccinia brachypodii,Plant Pathogen undefined,Puccinia poae-nemoralis,rusts,Rust,NA,,,,,,,
Puccinia brachypodii,Plant Pathogen undefined,Puccinia brachypodii var. major,rusts,Rust,NA,,,,,,,
Puccinia calcitrapae,Plant Pathogen undefined,Puccinia syngenesiarum,rusts,Rust,"Research Items. Nature 146, 779–780 (1940)",,,,,,,
Puccinia campanulae,Plant Pathogen undefined,Puccinia campanulae,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Bellflower.aspx,,,,,,,
Puccinia campanulae,Plant Pathogen undefined,Micropuccinia campanulae,rusts,Rust,NA,,,,,,,
Puccinia campanulae,Plant Pathogen undefined,Dicaeoma campanulae,rusts,Rust,NA,,,,,,,
Puccinia carthami,Plant Pathogen undefined,Puccinia carthami,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Safflower.aspx,,,,,,,
Puccinia carthami,Plant Pathogen undefined,Bullaria carthami,rusts,Rust,NA,,,,,,,
