"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"Sporangiospores forming in fertile sporangia only, released through breaking or moving backward to the sporangiophores, smooth, mostly oval and 6-12.5 x 4.5-9 µm,","Ambomucor ovalisporus_470420_41526","Sporangiospores","6-12.5 x 4.5-9 µ","9.25","6.75",NA,NA
"Sporangiospores forming in fertile sporangia, ellipsoid to broadly oblong-ellipsoid and 3.5-7 × 2-3.5 µm,","Ambomucor seriatoinflatus var. longior_470421_41528","Sporangiospores","3.5-7 x 2-3.5 µ","5.25","2.75",NA,NA
"Sporangiospores variable in shape, trapezoid,ellipsoid, subtriangular or claviform,hyaline to light brown in mass, smooth-and thin-walled, and 5-14 x 3-6 µm.","Apophysomyces variabilis_472007_42850","Sporangiospores","5-14 x 3-6 µ","9.5","4.5",NA,NA
"Sporangiospores mostly bone-1ike shaped, hyaline to light brown in mass, smooth-and thick-walled, and 6-8 x 3-5.5 µm.","Apophysomyces ossiformis_472008_42852","Sporangiospores","6-8 x 3-5.5 µ","7","4.25",NA,NA
"Sporangiospores mostly trapezoid-shaped in side view, more or less cylindrical in front view, flattened at one side and broadly convex on opposite side, hyaline to light brown in mass, smooth-and thin-walled, and 5-8.5 x 3-5 µm.","Apophysomyces trapeziformis_472009_42854","Sporangiospores","5-8.5 x 3-5 µ","6.75","4",NA,NA
"Sporangiospores rounded, spherical, globose, ovoid, sometimes irregular, with slightly rough surfaces due to minute protuberances, homogeneous content, olive green, (3-)4-13.4 (?14.2) x (3-)4-9.7(?12) µm.","Isomucor trufemiae_474683_43960","Sporangiospores","(3-)4-13.4 (?14.2) x (3-)4-9.7(?12) µ","8.7","6.85",NA,NA
"sporangiospores hyaline, globose, ovoid or ellipsoid, 4-7 µm","Rhizopus microsporus var. azygosporus_445881_237","sporangiospores","4-7 µ","5.5",NA,NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Mycocladus corymbifer_454049_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
"Sporangiospores numerous, irregular in size and shape, smooth, mostly small, ovoid to subglobose, 2-3 (rarely 3,5-6,5) µm","Mycocladus corymbifer_454049_13935","Sporangiospores","3,5-6,5) µ","5",NA,NA,NA
"Sporangiospores irregular in shape and size in different isolates, ranging from globose and sub-globose through ovoid and elliptical to oblong elliptical, 3-6,5 (-12,5) x 2,5-5 µm,","Mycocladus corymbifer_454049_14820","Sporangiospores","3-6,5 (-12,5) x 2,5-5 µ","6.5","3.75",NA,NA
"sporangiospores 2.4-2.8 x 1.7-1.8 µm,","Siepmannia parricida_456273_7565","sporangiospores","2.4-2.8 x 1.7-1.8 µ","2.6","1.75",NA,NA
"sporangiospores very small, 1.6-3.3 x 1.6-2.2 µm,","Siepmannia zychae_456288_25918","sporangiospores","1.6-3.3 x 1.6-2.2 µ","2.45","1.9",NA,NA
"sporangiospores very small, 1.6-3.3 x 1.6-2.2 µm,","Siepmannia zychae_457568_25918","sporangiospores","1.6-3.3 x 1.6-2.2 µ","2.45","1.9",NA,NA
"sporangiospores 2.4-2.8 x 1.7-1.8 µm,","Siepmannia parricida_457562_7565","sporangiospores","2.4-2.8 x 1.7-1.8 µ","2.6","1.75",NA,NA
"Sporangiospores are mostly ellipsoidal, but also kidney-shaped or irregular, 3-10 x 2-6 µm","Mucor nidicola_478079_50661","Sporangiospores","3-10 x 2-6 µ","6.5","4",NA,NA
"sporangiospores cylindrical-ellipsoidal, broadly ellipsoidal, 10.5-13.5 x 5.7-7.5 µm,","Ascophora vulgaris_481955_15865","sporangiospores","10.5-13.5 x 5.7-7.5 µ","12","6.6",NA,NA
"sporangiospore), attaches with a holdfast to the gut lining and is more prominent in younger thalli. Multiple branches nearest the holdfast, arising from the basal cell, nearly occluded in mature specimens. Mature, fertile branchlets tend to branch verticillately. Trichospores dimorphic, neither bearing a collar. Larger trichospores obpyriform, with slight submedial swelling (27-)36(-38.5)-(5.7-)8(-9.8) µm,","Ephemerellomyces kandelii_478591_52027","sporangiospore),","(27-)36(-38.5)-(5.7-)8(-9.8) µ","22.1",NA,NA,NA
"Sporangiospores globose to subglobose, 7-9 µm","Mucor lanceolatus_480510_52371","Sporangiospores","7-9 µ","8",NA,NA,NA
"sporangiospores hyaline, smooth, pale golden yellow in mass, globose (4-5 µm),","Thermomucor abortosporangium_480728_52658","sporangiospores","(4-5 µ","4.5",NA,NA,NA
"sporangiospores, 3.5-4 x 2.5-3 µm,","Mucor parviseptatus_507951_55657","sporangiospores,","3.5-4 x 2.5-3 µ","3.75","2.75",NA,NA
"sporangiospores ellipsoidal, sometimes flattened at one side, (12.2-) 15.2-20.9 (-27) x (5.4-) 6.4-8.4 (-11) µm,","Backusella recurva_507952_15787","sporangiospores","(12.2-) 15.2-20.9 (-27) x (5.4-) 6.4-8.4 (-11) µ","18.05","7.4",NA,NA
"sporangiospores ellipsoidal, (13.8-) 15.5-18 (-22.3) x (8.4-) 10.4-10.8 (11.1) µm,","Backusella indica_507953_15788","sporangiospores","(13.8-) 15.5-18 (-22.3) x (8.4-) 10.4-10.8 (11.1) µ","16.75","10.6",NA,NA
"sporangiospores pale yellow in colour, orange yellow in mass, mostly with orange coloured contents, ellipsoidal sometimes reniform or globose, 12-16.5 (18) x (8.2) 9-12 µm,","Backusella indica_507953_45955","sporangiospores","12-16.5 (18) x (8.2) 9-12 µ","16.5","9",NA,NA
"sporangiospores irregularly polyhedral with rounded protrusions, 10-12 µm","Backusella tuberculispora_507954_15791","sporangiospores","10-12 µ","11",NA,NA,NA
"sporangiospores were subglobose, 10.8-13.5 µm","Backusella tuberculispora_507954_15791","sporangiospores","10.8-13.5 µ","12.15",NA,NA,NA
"sporangiospores oblongly ellipsoidal, in young cultures rather uniform, (21.6) 39.2-40.5 x (8.1) 14.9-15.5 µm,","Backusella oblongielliptica_507955_15792","sporangiospores","(21.6) 39.2-40.5 x (8.1) 14.9-15.5 µ","39.2","14.9",NA,NA
"sporangiospores are globose to broadly ellipsoidal, 30 x 18-20 µm;","Backusella oblongielliptica_507955_15792","sporangiospores","30 x 18-20 µ","30","19",NA,NA
"sporangiospores ellipsoidal, sometimes slightly flattened at one side, 11.5-16.2 x [p. 27] 6.8-8.4 µm,","Backusella oblongispora_507956_15793","sporangiospores",". 27] 6.8-8.4 µ","13.85","7.6",NA,NA
"Sporangiospores narrow ellipsoidal with rounded ends, unequal in size, 12.5-21 x 7.5-12 µm,","Backusella grandis_507957_268","Sporangiospores","12.5-21 x 7.5-12 µ","16.75","9.75",NA,NA
"sporangiospores ellipsoidal, (9.1-) 10.8-15.2 (-18.9) x (6.4-) 7.1-9.1 (-10.8) µm,","Backusella variabilis_507958_15790","sporangiospores","(9.1-) 10.8-15.2 (-18.9) x (6.4-) 7.1-9.1 (-10.8) µ","13","8.1",NA,NA
"Sporangiospores numerous, yellowish, hyaline oblong to elliptical 7.5-10 x 12-15 µm","Backusella variabilis_507958_40917","Sporangiospores","7.5-10 x 12-15 µ","8.75","13.5",NA,NA
"sporangiospores subglobose, ovoid, or slightly reniform, 4-8 x 3.2-6.4 µm","Mucor ctenidius_507959_34589","sporangiospores","4-8 x 3.2-6.4 µ","6","4.8",NA,NA
"sporangiospores subglobose, ovoid, or reniform, variable in size, 4-17.5 x 3.5-13 µm","Mucor ctenidius_507959_34589","sporangiospores","4-17.5 x 3.5-13 µ","10.75","8.25",NA,NA
"sporangiospore), 14.0-19.0 × 4.0-6.0 µm,","Coemansia biformis_510015_57402","sporangiospore),",")14.0-19.0 x 4.0-6.0 µ","16.5","5",NA,NA
"sporangiospore inside, type I sporangiola showing clear annulae on the surface, elliptic-fusiform, 10.5-13.0 × 2.0-3.0 µm","Coemansia biformis_510015_57402","sporangiospore","10.5-13.0 x 2.0-3.0 µ","11.75","2.5",NA,NA
"Sporangiospores from both Type I and Type II sporophores slightly tapering towards the round apex, the same size and shape as the sporangiolum, in type I elongated fusiform, 9-12 × 2.0-3.0 µm;","Coemansia biformis_510015_57402","Sporangiospores","9-12 x 2.0-3.0 µ","10.5","2.5",NA,NA
"sporangiospore. Sporangiospores elongate-fusiform to acicular, slightly tapering towards the apex, 11-15 × 1.5-2.0 µm,","Coemansia helicoidea_510016_57403","sporangiospore.","11-15 x 1.5-2.0 µ","13","1.75",NA,NA
"Sporangiospores elongate-fusiform to acicular, slightly tapering towards the apex, 11-15 × 1.5-2.0 µm,","Coemansia helicoidea_510016_57403","Sporangiospores","11-15 x 1.5-2.0 µ","13","1.75",NA,NA
"Sporangiospores fusiform, slightly tapering towards the apex, 9.5-14 × 2.0 µm,","Coemansia pennisetoides_510017_57404","Sporangiospores","9.5-14 x 2.0 µ","11.75","2",NA,NA
"Sporangiospores fusiform, circumambient within a sporangiolum, apex slightly shorter than sporangiola, 10-11 × 1.0-1.5 µm.","Coemansia umbellata_510018_57405","Sporangiospores","10-11 x 1.0-1.5 µ","10.5","1.25",NA,NA
"sporangiospores, neck often 6-13 µm,","Umbelopsis longicollis_522398_64290","sporangiospores,","6-13 µ","9.5",NA,NA,NA
"Sporangiospores small and angular, (1.5-)2.0-3.5 µm,","Umbelopsis longicollis_522398_64290","Sporangiospores","(1.5-)2.0-3.5 µ","2",NA,NA,NA
"Sporangiospores are mostly short cylindrical and measure 2.2-2.8 µm","Absidia stercoraria_545799_70456","Sporangiospores","2.2-2.8 µ","2.5",NA,NA,NA
"sporangiospores were discharged after the sporangial wall was deliquesced at maturity. Sporangiophores are 2.5-3.9 µm","Gongronella orasabula_545837_70492","sporangiospores","2.5-3.9 µ","3.2",NA,NA,NA
"Sporangiospores are mostly bean-shaped, and measure 1.8-2.6 µm","Gongronella orasabula_545837_70492","Sporangiospores","1.8-2.6 µ","2.2",NA,NA,NA
"sporangiospores each. COLLUMELAE subglobose and conical, some slightly constricted in center, up to 15 µm","Backusella constricta_552068_72531","sporangiospores","15 µ","15",NA,NA,NA
"Sporangiospores of two types, the majority 2.5-3.0 × 6.0-8.5 µm,","Syncephalis aethiopica_560131_77507","Sporangiospores","2.5-3.0 x 6.0-8.5 µ","2.75","7.25",NA,NA
