"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores ellipsoid, 4-5(-5.5) x 2.5-3 µm,","Hypochniciellum oblongisporum_87881_44040","Basidiospores","4-5(-5.5) x 2.5-3",5,2.75,NA,NA
"Basidiospores oblong ellipsoid to cylindrical, thin-walled, negative in Melzer's reagent, 5-8 x 3-3,5 µm,","Diplomitoporus hondurensis_87882_4692","Basidiospores","5-8 x 3-3,5",6.5,3.25,NA,NA
"Basidiospores oblong ellipsoid, hyaline, smooth, negative in Melzer's reagent, 5,5-6,5 (-7) x 2,5-3 µm.","Diplomitoporus incisus_87883_4693","Basidiospores","5,5-6,5 (-7) x 2,5-3",6.5,2.75,NA,NA
"Basidiospores ellipsoid, hyaline, IKI-, 3-3.2 x 2-2.4 µm.","Tyromyces limitatus_87884_4695","Basidiospores","-3-3.2 x 2-2.4",3.1,2.2,NA,NA
"Basidiospores cylindric, hyaline, thin-walled, 5-6 (7) x 1.5-2 µm,","Tyromyces nodulosus_87885_4697","Basidiospores","5-6 (7) x 1.5-2",6,1.75,NA,NA
"Basidiospores short ellipsoid to subglobose, 2.5-3(-3.25) x 2-2.25 µm,","Hypochniciellum luteolum_87886_44039","Basidiospores","2.5-3(-3.25) x 2-2.25",3,2.125,NA,NA
"Basidiospores broadly ellipsoid, with an inconspicuous apiculus, (3.5-)4-5(-5.5)-(2.8-)3.2-3.7(-4.3) µm,","Radulodon venustus_87887_52647","Basidiospores","(3.5-)4-5(-5.5) x (2.8-)3.2-3.7(-4.3)",4.5,3.45,NA,NA
"Basidiospores ellipsoid to ovoid, apically truncate, thick-walled with an apical germ pore and with a small to inconspicuous apiculus, 0-1 guttulate, hyaline, variably dextrinoid (non-to strongly), cyanophilous, 3.7-4.8(-5.3) x 3.2-3.8 µm","Perenniporia cremeopora_87664_641","Basidiospores","3.7-4.8(-5.3) x 3.2-3.8",4.8,3.5,NA,NA
"Basidiospores ellipsoid to slightly ovoid, apically truncate, thick-walled with an apical germ pore and a small to inconspicuous apiculus, 0-1 guttulate, hyaline, non-to strongly dextrinoid, cyanophilous, (4.0-)4.2-4.9(-5.2) x 3.0-3.7(-3.9) µm","Perenniporia minutopora_87665_643","Basidiospores","(4.0-)4.2-4.9(-5.2) x 3.0-3.7(-3.9)",4.55,3.7,NA,NA
"Basidiospores ellipsoid to slightly ovoid to subglobose, apically truncate, thick-walled, with an apical germ pore, 0-1 guttulate, hyaline, variably dextrinoid (moderately to strongly), cyanophilous, (3.5-)3.7-4.1(-4.5) x 3.0-3.7(-4.0) µm","Perenniporia parvispora_87666_644","Basidiospores","(3.5-)3.7-4.1(-4.5) x 3.0-3.7(-4.0)",3.9,3.7,NA,NA
"Basidiospores cylindric, 6-8 x 2-3 µm,","Athelopsis gloeocystidiata_87879_4683","Basidiospores","6-8 x 2-3",7,2.5,NA,NA
"Basidiospores cylindric to suballantoid, (5.5-)6-7 x 2-2.5 µm","Ceraceomyces austroandinum_87880_4685","Basidiospores","(5.5-)6-7 x 2-2.5",6,2.25,NA,NA
"Basidiospores 5.6-7.7 µm","Phylloporus aurantiacus_211068_42011","Basidiospores","5.6-7.7",6.65,NA,NA,NA
"Basidiospores rusty brown, ellipsoid, 4.5-6.0 x 3.5-4.5 µm.","Inonotus mikadoi_13690_26828","Basidiospores","4.5-6.0 x 3.5-4.5",5.25,4,NA,NA
"Basidiospores abundant, rusty brown, broadly ellipsoid, 4.5-6 x 3.5-4 µm.","Inonotus mikadoi_13690_44932","Basidiospores","4.5-6 x 3.5-4",5.25,3.75,NA,NA
"Basidiospores broadly ellipsoid, slightly thick-walled and light rusty-brown (in KOH) at least in mature and dried specimens, 6.5-8 x 5-6 µm.","Inonotus vallatus_88066_26872","Basidiospores","6.5-8 x 5-6",7.25,5.5,NA,NA
"Basidiospores ellipsoid to broadly ellipsoid, occasionally subcylindrical, distinctly thick-walled, hyaline to yellowish, not dextrinoid, not amyloid, not cyanophilous, 3.0-3.7 x 2.2-2.6-(2.8) µm,","Abundisporus sclerosetosus_88054_47552","Basidiospores","3.0-3.7 x 2.2-2.6-(2.8)",3.35,2.6,NA,NA
"Basidiospores 9-11.2(-13) x 6.9-8(-8.6) µm,","Ganoderma orbiforme_88060_58057","Basidiospores","9-11.2(-13) x 6.9-8(-8.6)",11.2,8,NA,NA
"Basidiospores broadly ellipsoid to ovoid, hyaline, smooth, negative in Melzer's reagent, 4-4.5 x 2-2.5 µm.","Boletus nitidus_72913_44101","Basidiospores","4-4.5 x 2-2.5",4.25,2.25,NA,NA
"Basidiospores cylindric, 10-13(14.5) x 3.5-5 µm.","Favolus extratropicus_87364_7460","Basidiospores","10-13(14.5) x 3.5-5",13,4.25,NA,NA
"Basidiospores  hyaline, thin-walled, globose to ellipsoid, smooth, 2.5-4.2 x 1.6-2.4 µm,","Flabellophora obovata_411380_4634","Basidiospores","2.5-4.2 x 1.6-2.4",3.35,2,NA,NA
"Basidiospores ellipsoid to subglobose, 3.5-5 x 2-4.5 µm.","Flabellophora obovata_411380_47767","Basidiospores","3.5-5 x 2-4.5",4.25,3.25,NA,NA
"Spores.-Basidiospores globose, thin-walled, hyaline, smooth, bearing a guttule, IKI-, weakly CB+, (4-)4.2-6(-6.5) ´ (3.7-)3.9-5.2(-6) µm,","Rigidoporus eminens_89748_7623","Spores.-Basidiospores","+(4-)4.2-6(-6.5) x (3.7-)3.9-5.2(-6)",6,4.55,NA,NA
"basidiospores broadly ovoid to subglobose, hyaline, smooth, negative in Melzer's reagent, 4.5-6 x 4-5 µm.","Physisporinus xylostromatoides_193809_1219","basidiospores","4.5-6 x 4-5",5.25,4.5,NA,NA
"Spores.-Basidiospores narrowly cylindrical, slightly thicker in the middle, moderately curved, thin-walled, hyaline, bearing one or two guttules, IKI-, CB-, (3-)3.1-4.1(-4.4) ´ (1-)1.1-1.6(-1.8) µm,","Skeletocutis subvulgaris_89746_7626","Spores.-Basidiospores","-(3-)3.1-4.1(-4.4) x (1-)1.1-1.6(-1.8)",3.6,1.35,NA,NA
"Spores.-Basidiospores cylindrical, moderately curved, thin-walled, hyaline, IKI-, CB-or weakly CB+, (3.2-)3.3-4.1(-4.2) ´ 1.2-1.8(-2) µm,","Wolfiporia curvispora_89747_7628","Spores.-Basidiospores","+(3.2-)3.3-4.1(-4.2) x 1.2-1.8(-2)",4.1,1.8,NA,NA
"basidiospores (Fig. 5b, d) hyaline, inamyloid, acyanophilous, cylindric, with slight suprahilar depression and oblique apiculus, (8.6-)9.6-12.3(-14.6) x (3.3 )4.0 1.9(-5.5) µm,","Polyporus vassilievae_89764_33574","basidiospores","(8.6-)9.6-12.3(-14.6) x (3.3 )4.0 1.9(-5.5)",10.95,NA,NA,NA
"basidiospores (Fig. 5b, d) hyaline, inamyloid, acyanophilous, cylindric, with slight suprahilar depression and oblique apiculus, (8.6-)9.6-12.3(-14.6) x (3.3 )4.0 1.9(-5.5) µm,","Polyporus ulmi_87626_33574","basidiospores","(8.6-)9.6-12.3(-14.6) x (3.3 )4.0 1.9(-5.5)",10.95,NA,NA,NA
"Basidiospores globose-subglobose, colourless, smooth, thin-walled, 9-12.5 x 8.5-11.5 µm,","Helicogloea globispora_89751_34000","Basidiospores","9-12.5 x 8.5-11.5",10.75,10,NA,NA
"basidiospores ellipsoid, hyaline, smooth, negative in Melzer's reagent, 4.5-5.5 x 3-3.5 µm","Hyphodontia flavipora_90072_4461","basidiospores","4.5-5.5 x 3-3.5",5,3.25,NA,NA
"Basidiospores ellipsoid, hyaline, smooth, negative in Melzer's reagent, 3.5-4.5(5) x (2.5)3-3.5 µm.","Hyphodontia flavipora_90072_44596","Basidiospores","3.5-4.5(5) x (2.5)3-3.5",4.5,3,NA,NA
"Basidiospores smooth, subglobose, (16)18-20 x (14)16-18 µm.","Acanthofungus ahmadii_103581_5535","Basidiospores","(16)18-20 x (14)16-18",18,16,NA,NA
"Basidiospores oblong ellipsoid to subcylindrical, smooth, 8-11 x 5-6 µm.","Acanthofungus thoenii_90036_5603","Basidiospores","8-11 x 5-6",9.5,5.5,NA,NA
"Basidiospores pip-shaped, oval, obovate or elliptical, some flattened adaxially, with oblique or central apiculi, 12-15 x 7-10 µm,","Xylobolus apricans_90078_5540","Basidiospores","12-15 x 7-10",13.5,8.5,NA,NA
"Basidiospores inconspicuous, appearing as amyloid fragments in Melzer's; D-shaped, (5.5-)6-7.5(-8) x (3-)3.5-4.5 µm,","Acanthophysellum bertii_90034_5835","Basidiospores","(5.5-)6-7.5(-8) x (3-)3.5-4.5",6.75,3.5,NA,NA
"Basidiospores narrowly ellipsoid, (10)12-18 x (7)9-13 µm,","Acanthophysellum canadense_90031_5548","Basidiospores","(10)12-18 x (7)9-13",12,9,NA,NA
"Basidiospores ovoid-ellipsoid, (10-)12-18 x (7-)9-13 µm,","Acanthophysellum canadense_90031_5837","Basidiospores","(10-)12-18 x (7-)9-13",12,9,NA,NA
