Species,spore_type,Primers.name,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Botryobasidium_subcoronatum,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA,NA,1.4348649163936562,0.39786821259237826,122,309.9344262295082,4.64026106348448,780.1487965131408,945.3197302997987,33.646157527066656,20988.712867551392,0.31037685302181417,322.6899783241263,3.758134487336711,262.7636337020018,221.07634797144962,14.80042185439523,2020.473250885108,0.15501943844539412,9116851.940395083,0.45584259701975416,4860245078240.674,0.032767317113929266
Botryosphaeria_auasmontanum,Mitospores,fITS7/ITS4,Ascomycota,Dothideomycetes,Botryosphaeriales,NA,NA,NA,NA,1.7841225181515081,0.47068714471425255,10,375.1,10.257770818859957,1091.655,880.3422876100174,18.912559028400945,21634.030000000002,0.3808999994397163,453.4557310256427,3.6242422071221316,280.1280098752473,151.85449052254975,23.776459401933906,2438.4054958790866,0.19380184901245784,8631959.347654134,0.4315979673827067,5265544742320.267,0.0354998094893698
Botryosphaeria_auasmontanum,Mitospores,ITS1F/ITS4,Ascomycota,Dothideomycetes,Botryosphaeriales,NA,NA,NA,NA,1.7841225181515081,0.47068714471425255,5,1240.4,12.464722239733145,1466.533333333332,365.5334278991032,36.41219644849218,21279.01666666668,1.1403333649039251,977.493887448919,12.24692424402168,745.6329749503642,280.84394385912896,5.456617211147308,394.67974622891234,1.171213440056587,7693091.899827915,0.38465459499139576,17929995834.18876,1.2088235261645804e-4
Botryosphaeria_auasmontanum,Mitospores,ITS3/ITS4,Ascomycota,Dothideomycetes,Botryosphaeriales,NA,NA,NA,NA,1.7841225181515081,0.47068714471425255,49,924.7551020408164,11.649778931578439,867.2357142857143,899.2826910238979,79.24917716730813,21627.56700680272,0.45924490032603565,1427.6567708809343,7.605351170958763,430.1748151322599,209.9343257471981,29.166896867687093,2151.626442267766,0.33685272998019455,13038715.987437367,0.6519357993718684,2301035595956.8174,0.015513366476253771
Botryosphaeria_fabicerciana,Mitospores,ITS1F/ITS2,Ascomycota,Dothideomycetes,Botryosphaeriales,NA,NA,NA,NA,2.588277290258571,0.578994687259269,1,1,9.9491667235891,518.2,487.842845758142,17.8043135800914,18328.8,0.728000009059906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botrytis_californica,Mitospores,ITS1F/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.427099845670639,0.13610373406634327,7,330.2857142857143,16.260872966843472,1253.02380952381,379.29549017801486,59.25557273386315,26793.72857142857,1.1172619066068095,364.9208655246204,5.759798343967682,486.3515501745046,93.32541500148014,34.39270067669774,3322.3074259286955,0.49378471074309477,3551310.29358289,0.1775655146791445,1824294188825.263,0.012299220560287897
Botrytis_caroliniana,Mitospores,fITS7/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.691674616013012,0.10922484223586525,82,619.6341463414634,7.376044076636298,833.7943089430895,798.8736231239452,39.48801139255109,21733.265940766545,0.4651745070946705,656.6270247894387,8.811661824127798,495.63164306869515,290.7839027077537,26.260760134136035,3051.5833745395535,0.3894277270813631,19732880.449466553,0.9866440224733276,38242558230326.28,0.25782774584581447
Botrytis_caroliniana,Mitospores,ITS1F/ITS2,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.691674616013012,0.10922484223586525,88,1789.3068181818182,3.895201563833741,716.8194805194806,711.7548490406602,57.43757645196123,22773.131980519483,0.28654356297162004,1434.891516248268,4.445323804706307,209.05401867404032,142.75113795812786,24.651786367037765,3864.6848546717406,0.18830860094931443,12515654.879754247,0.6257827439877124,1050243107147.5853,0.0070806406641289125
Botrytis_caroliniana,Mitospores,ITS1F/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.691674616013012,0.10922484223586525,157,824.9299363057324,11.251138545876278,877.0107218683652,485.3576126421958,41.372156095571825,23312.076645435245,0.6382484084987843,743.4149729341535,6.117799171482986,314.2384857549001,163.85087753757847,22.681301146997576,3542.6805566837866,0.2700505852784523,18343029.100069236,0.9171514550034618,59220581682720.586,0.3992596151903279
Botrytis_caroliniana,Mitospores,ITS3/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.691674616013012,0.10922484223586525,494,1398.3947368421052,6.407651474371011,680.7147652785811,928.9217418367723,76.55962874693277,21540.17882446501,0.28304969233799904,1612.4950266610826,6.8141560772930845,348.8584319597036,206.23570613712005,33.52483419494466,1849.7096399396228,0.22647026752376453,18739064.134149417,0.9369532067074708,12672202410625.732,0.08543480179217218
Botrytis_cinerea,Mitospores,fITS7/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.5105138342521154,0.16633142176652496,2,577.5,2.0595486275851496,1057.1666666666665,844.201899311387,43.721533904908895,20725.16666666665,0.4716666595389445,352.8462838120872,15.162775524193384,1154.469671417237,720.2709138415804,30.387673202441476,3887.0838273126733,0.5916126634423786,NA,NA,NA,NA
Botrytis_cinerea,Mitospores,ITS1F/ITS2,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.5105138342521154,0.16633142176652496,4,104,5.049032751687005,627.1339285714284,851.501435089094,35.44925237423345,20109.32142857145,0.3250000029802325,38.1051177665153,0.2669385927657002,11.55731521002796,5.818006237118579,0.6084504946953102,78.31344008510253,0.005773514392233749,NA,NA,NA,NA
Botrytis_cinerea,Mitospores,ITS1F/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.5105138342521154,0.16633142176652496,21,1764.8095238095239,4.324097248221992,902.670634920635,551.3733973009138,33.586980062710374,21619.228571428575,0.3430873043480373,566.9104531623684,3.373264355022322,161.94154088442275,59.211450358790884,4.739902360003077,1493.1413335290385,0.18811901926514668,15596156.224395547,0.7798078112197774,20925626752918.254,0.14107861570404548
Botrytis_cinerea,Mitospores,ITS3/ITS4,Ascomycota,Leotiomycetes,Helotiales,Plant Pathogen,Plant,Plant-Pathogen,yes,2.5105138342521154,0.16633142176652496,2,2368.5,5.24270836046587,442.375,935.765570462661,106.12039906239465,22048,0.19375000055879366,3236.427737490828,12.928269047582637,169.52885078947477,80.0270535862675,16.471253645284552,245.36605307173198,0.16440232920736692,NA,NA,NA,NA
Bovista_limosa,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA,1.7490794511850898,0,2,2974,3.95208334806375,868.25,642.351528155193,91.4141756295417,16204,0.25,0,0,0,0,0,0,0,NA,NA,NA,NA
Bovista_limosa,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA,1.7490794511850898,0,149,4071.463087248322,-1.608583145844454,417.99854586129754,853.1324960548087,103.9403897357693,21257.147762863537,0.09113758431676719,728.0620010304469,3.517866109502659,188.6698985208189,88.4949635467022,9.811062202951344,873.9092891975193,0.05056237353816207,3463903.1731550116,0.1731951586577506,579076891676.2483,0.0039040821681717848
Bovista_nigrescens,Meiospores,fITS7/ITS4,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA,1.8159086353185465,0,2,373,24.7173610760106,1879.5416666666652,69.30525053983585,82.4378697780497,17427,1.882916659116745,0,9.820824490386782e-4,1.7088413878697943,0.32365910494764233,0.05931661537118786,16.97056274847714,5.892550890345777e-4,NA,NA,NA,NA
Bovista_nigrescens,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA,1.8159086353185465,0,7,1604.142857142857,4.770337322364663,692.6190476190474,607.3483797959178,42.060508434012554,20505.523809523784,0.35190476264272424,512.8977898735213,1.8378522418994778,78.80559262242387,4.907403654778334,12.35071866826298,201.89602266573655,0.08882165468662372,NA,NA,NA,NA
