"clade","species","value"
"monocots","Aechmea aquilega (Salisb.) Griseb.",1.3103526
"monocots","Aechmea bromeliifolia (Rudge) Baker",2.4961538
"monocots","Aechmea coelestis var. coelestis",0.329
"monocots","Aechmea comata (Gaudich.) Baker",0.4272
"monocots","Aechmea fulgens Brongn.",0.98
"monocots","Aechmea gamosepala Wittm. var. gamosepala",0.3
"monocots","Aechmea gracilis Lindm.",0.37872
"monocots","Aechmea kertesziae Reitz",0.4666667
"monocots","Aechmea longifolia (Rudge) L.B.Sm. & M.A.Spencer",5.098374
"monocots","Aechmea lueddemanniana (K.Koch) Brongn. ex Mez",0.7353414
"monocots","Aechmea mertensii (G.Mey.) Schult. & Schult.f.",2.6316
"monocots","Aechmea nudicaulis var. cuspidata Baker",0.368
"monocots","Aechmea recurvata var. ortgiesii (Baker) Reitz",0.7384
"monocots","Aechmea winkleri Reitz",0.636
"monocots","Aegilops bicornis (Forssk.) Jaub. & Spach",5.9812
"monocots","Aegilops biuncialis Vis.",26.63
"monocots","Aegilops caudata L.",6.46
"monocots","Aegilops columnaris Zhuk.",15.04
"monocots","Aegilops comosa subsp. comosa",12.03
"monocots","Aegilops crassa Boiss.",17.31
"monocots","Aegilops cylindrica Host",25.1
"monocots","Aegilops geniculata Roth",16.95
"monocots","Aegilops juvenalis (Thell.) Eig",18.76
"monocots","Aegilops kotschyi Boiss.",55.6
"monocots","Aegilops longissima Schweinf. & Muschl.",19.6
"monocots","Aegilops mutica Eig",3.8
"monocots","Aegilops neglecta Req. ex Bertol.",15.69
"monocots","Aegilops peregrina (Hack.) Eig",53.75
"monocots","Aegilops peregrina (Hack.) Maire & Weiller var. brachyathera Boiss.",30.0252
"monocots","Aegilops searsii Feldman & Kislev",9.64
"monocots","Aegilops sharonensis Eig",17.22
"monocots","Aegilops sp.",7.43
"monocots","Aegilops speltoides subsp. speltoides",6.51
"monocots","Aegilops speltoides Tausch",23.56
"monocots","Aegilops tauschii Coss.",18.55
"monocots","Aegilops triuncialis L.",18
"monocots","Aegilops umbellulata Zhuk.",12.34
"monocots","Aegilops uniaristata Vis.",9.13
"monocots","Aegilops vavilovii (Zhuk.) Chennav.",60.61
"monocots","Aegilops ventricosa Tausch",43.2
"monocots","Aeluropus lagopoides (L.) Trin. ex Thwaites",0.264
"monocots","Aeluropus littoralis (Gouan) Parl.",162
"monocots","Aerangis confusa J.Stewart",0.0019268
"monocots","Aerangis somalensis (Schltr.) Schltr.",0.0019268
"monocots","Aframomum alboviolaceum (Ridl.) K.Schum.",32.88
