"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Teliospores ellipsoidal, sometimes with 3 or 4 cells, slightly constricted at septa, 38-42 x 14-16 µm;","Puccinia arachidis_151508_13887","Teliospores","38-42 x 14-16",40,15,NA
"Teliospores +- spherical, 20-28 µm","Hemileia vastatrix_124054_13768","Teliospores","20-28",24,NA,NA
"Teliospores 27-47(-51)((-56)) x 15-26.5(-28) µm,","Puccinia ornatula_151521_13257","Teliospores","27-47(-51)((-56)) x 15-26.5(-28)",49,26.5,NA
"Teliospores ellipsoid, ends round to obtuse, constricted at septum, 25-40 x 15-23 µm;","Puccinia araliae_151548_13516","Teliospores","25-40 x 15-23",32.5,19,NA
"Teliospores ((17-))(32-)43-85(-92)((-103)) x 20-29(-30.5) µm,","Puccinia potentillae_154374_13133","Teliospores","((17-))(32-)43-85(-92)((-103)) x 20-29(-30.5)",64,29,NA
"Teliospores 11-36 x 5-14 µm,","Melampsora humilis_334146_60400","Teliospores","11-36 x 5-14",23.5,9.5,NA
"Teliospores catenate, firmly adherent, fairly short ellipsoid at apex of telial column, longer and cylindrical to fusoid below, ends rounded or truncate, 25-75 x 9-18 µm","Peridermium comptoniae_244543_14905","Teliospores","25-75 x 9-18",50,13.5,NA
"Teliospores globose, oblong or ellipsoid; 16-19 x 20-29 µm;","Uredo hedysari-obscuri_334540_49764","Teliospores","; 16-19 x 20-29",17.5,24.5,NA
"teliospores (40-) 43-53 (-57) x (23-) 25-30 (-32) µm,","Puccinia appendiculata_231770_17600","teliospores","(40-) 43-53 (-57) x (23-) 25-30 (-32)",48,27.5,NA
"Teliospores unicellular, roughly cylindrical in side view, angular in cross section, 35-50 x 7-12 µm,","Melampsora larici-populina_120758_14446","Teliospores","35-50 x 7-12",42.5,9.5,NA
"Teliospores ellipsoid, ends obtuse to slightly tapered, not or slightly constricted at septum, (30.6)38-61 x (18.5-)23-32.1 µm;","Puccinia sherardiana_155404_13410","Teliospores","(30.6)38-61 x (18.5-)23-32.1",38,23,NA
"Teliospores narrowly to broadly ellipsoid with rounded ends, not or slightly constricted at septum, 29-43.2(-51.5) x 19.2-27.2 µm;","Craterocolla pura_335441_13270","Teliospores","29-43.2(-51.5) x 19.2-27.2",43.2,23.2,NA
"Teliospores cylindrical, 45-80 µm","Melampsora lini_117398_13885","Teliospores","45-80",62.5,NA,NA
"Teliospores ellipsoid, ends usually tapered, constricted at septum, 28-57 x 8-17.5 µm;","Puccinia silphii_152195_13280","Teliospores","28-57 x 8-17.5",42.5,12.75,NA
"Teliospores oblong or ellipsoid, obtuse, rounded or truncate above, slightly constricted at septum, narrowed below, chestnut-brown, 30-55 x 18-29 µm,","Puccinia antirrhini_123953_14230","Teliospores","30-55 x 18-29",42.5,23.5,NA
"Teliospores dimorphic: ovate teliospores yellow, elongated, 1 celled, 29-40 x 48-60(-79), walls smooth, yellow; globose to subglobose teliospores brown, 29-47 x 39-48 µm,","Uromyces ambiens_152531_67338","Teliospores","29-47 x 39-48",38,43.5,NA
"teliospores yellow, elongated, 1 celled, 29-40 x 48-60(-79), walls smooth, yellow; globose to subglobose teliospores brown, 29-47 x 39-48 µm,","Uromyces ambiens_152531_67338","teliospores","29-47 x 39-48",38,43.5,NA
"teliospores brown, 29-47 x 39-48 µm,","Uromyces ambiens_152531_67338","teliospores","29-47 x 39-48",38,43.5,NA
"Teliospores 1-2 celled, oblong to clavate; wall 2-3 µm","Puccinia poarum_118954_57579","Teliospores","2-3",2.5,NA,NA
"Teliospores rarely one-celled; 2-celled spores (27-)30-48(-53) x 15-27(-29) µm","Puccinia sorghi_152990_13687","Teliospores","(27-)30-48(-53) x 15-27(-29)",39,27,NA
"Teliospores ellipsoid, cylindrical or clavate, obtuse or subacute, usually slightly constricted at septum, 35-50 x 16-23 µm;","Puccinia sorghi_152990_13770","Teliospores","35-50 x 16-23",42.5,19.5,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Caeoma luminatum_337731_14026","Teliospores","32-50 x 22-30",41,26,NA
"Teliospores deep red-brown, 22-34(-38) x 17-24 µm;","Puccinia polygoni-avicularis_233848_13704","Teliospores","22-34(-38) x 17-24",34,20.5,NA
"Teliospores subglobose, ovate or ellipsoid, 18-24 x 22-31(-35) µm;","Puccinia polygoni-avicularis_233848_49765","Teliospores","18-24 x 22-31(-35)",21,31,NA
"Teliospores variable in shape, round to ovate or angular, 18-30 x 18-24 µm,","Uredo ciceris-arietini_233996_14003","Teliospores","18-30 x 18-24",24,21,NA
"teliospores (25,5 x 20-30 µm)","Uredo ciceris-arietini_233996_14003","teliospores","(25,5 x 20-30",25.5,25,NA
"Teliospores ellipsoid, ends round or occasionally tapering slightly to base, not or slightly constricted at septum, 35-62(-65) x 17-34 µm;","Puccinia aculeata_338803_13674","Teliospores","35-62(-65) x 17-34",62,25.5,NA
"Teliospores embedded just beneath the epidermis, globose to ellipsoid, 15-22 x 15-30 µm,","Pucciniastrum arcticum var. americanum_215090_14035","Teliospores","15-22 x 15-30",18.5,22.5,NA
"Teliospores ellipsoid, ends round or occasionally tapering slightly to base, not or slightly constricted at septum, 35-62(-65) x 17-34 µm;","Puccinia podophylli_153938_13674","Teliospores","35-62(-65) x 17-34",62,25.5,NA
"Teliospores narrowly ellipsoid to obovoid, apex obtuse, base tapered, usually constricted at the septum, 37-72 x 13-24 µm;","Puccinia xanthii_154001_13281","Teliospores","37-72 x 13-24",54.5,18.5,NA
"Teliospores (19-)20-43((-45)) x 12-22.5((-24)) µm,","Uredo conglomerata_234641_13294","Teliospores","(19-)20-43((-45)) x 12-22.5((-24))",31.5,22.5,NA
"Teliospores 1-2-celled, 1-celled spores less common; 11-20 x 30-58 µm;","Puccinia agropyrina_118488_52405","Teliospores","; 11-20 x 30-58",15.5,44,NA
"Teliospores 2-celled, occasionally 3-celled, linear-oblong to clavate, (35-)40-65(-72) x (10-)12-18 µm,","Puccinia spegazzinii_155732_15340","Teliospores","(35-)40-65(-72) x (10-)12-18",52.5,12,NA
"Teliospores ellipsoid to broadly ellipsoid or obovoid, not or slightly constricted at the septum, attenuated towards base, 22-30(-33) x (38-)40-57 µm","Puccinia absinthii_117407_52409","Teliospores","22-30(-33) x (38-)40-57",30,40,NA
"Teliospores subglobose, ovoid or oblong, apex mostly rounded or slightly acute, brown to dark brown, 23-35 x 17-25 µm;","Uromyces musae_155776_14265","Teliospores","23-35 x 17-25",29,21,NA
"teliospores ellipsoid, rounded at both ends, not constricted at septum, 31-33 x 21-24 µm,","Puccinia pampeana_155857_17605","teliospores","31-33 x 21-24",32,22.5,NA
"Teliospores in chains loosely united laterally then the chains tending to separate, barrel-shaped, oblong or ovoid, 14-22 x 10-13 µm;","Uredo fici_235098_14249","Teliospores","14-22 x 10-13",18,11.5,NA
"Teliospores narrowly ellipsoid, ends slightly tapered especially toward base, slightly constricted at septum, 38-70 x 14-26(-30) µm;","Leptopuccinia malvacearum_385213_13408","Teliospores","38-70 x 14-26(-30)",54,26,NA
"Teliospores oblong to subfusoid, attenuate at both ends or rarely rounded above, slightly or not constricted at the septum, 35-75 x 12-26 µm;","Leptopuccinia malvacearum_385213_14233","Teliospores","35-75 x 12-26",55,19,NA
"Teliospores cylindric, clavate, rounded or truncate above, 60-140 x 15-28 µm;","Uredo ipomoeae_156280_14250","Teliospores","60-140 x 15-28",100,21.5,NA
"Teliospores cylindric, not constricted at the septa rounded or tapered above and mucronate, apiculus 4-17 µm","Phragmidium rosae-setigerae_156397_14031","Teliospores","4-17",10.5,NA,NA
"teliospores instead of the aeciospores. In all other regards, the protolog of A. podophylli describes aecia.  [≡ Puccinia podophylli (Schwein.) Link, Species Plantarum 6:79. 1825 non Puccinia podophylli Schwein., Schriften Naturf. Ges. Leipzig 1:72. 1822.]  Note: This is nom. illeg. because it is a later homonym (ICBN Art. 53). Although Link (1825) was reclassifying this species in Puccinia due to the lapsus calami of Schweinitz that was discussed above, this name should have received a nom. nov. designation instead of the same name as the already valid and legitimate Puccinia podophylli Schwein.  ≡ Puccinia aurea Spreng., Systema Vegetabilium 4:568.1827.  Note: This is nom. nov. for Aecidium podophylli.  Study of Allodus podophylli (designated neotype of Puccinia podophylli Schwein.): Leaf spots scattered to gregarious, typically more or less circular to elongate-elliptical, yellow, 3-8 mm diam. Spermogonia of Group V (type 4), epiphyllous on leaf spots, scattered to gregarious, subepidermal and scarcely visible as small raised warts, honey yellow, globoid to depressed globoid, with ostiolar filaments, 130-160 µm","Aecidium podophylli_340964_56835","teliospores","130-160",145,NA,NA
"Teliospores 37-59 x 16-27 µm,","Aecidium podophylli_340964_56835","Teliospores","37-59 x 16-27",48,21.5,NA
"Teliospores cylindric, not constricted at the septa, apex rounded and abruptly mucronate or tapered, apiculus 4-15 µm","Phragmidium rosae-pimpinellifoliae_120766_14030","Teliospores","4-15",9.5,NA,NA
"Teliospores oblong, clavate or cylindrical, apex rounded, +- truncate or tapered, 38-85 x 10-23(-25) µm;","Puccinia pulsatillae_156546_13568","Teliospores","38-85 x 10-23(-25)",61.5,23,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Uromyces appendiculatus_117040_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores 1-5-celled, globose or almost cuboid in some 1-celled spores to long cylindric in 5-celled spores, constricted at the septa, rounded, 20-95 x 18-30 µm;","Phragmidium libocedri_387812_14863","Teliospores","20-95 x 18-30",57.5,24,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Uromyces appendiculatus_156683_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores globoid or subgloboid, ovoid or broadly ellipsoid, often irregular, apex rounded, brown, 28-55 x 20-35 µm;","Uredo aloës_156765_14236","Teliospores","28-55 x 20-35",41.5,27.5,NA
"Teliospores (19-)20-43((-45)) x 12-22.5((-24)) µm,","Puccinia conglomerata_154035_13294","Teliospores","(19-)20-43((-45)) x 12-22.5((-24))",31.5,22.5,NA
"Teliospores ((17-))(32-)43-85(-92)((-103)) x 20-29(-30.5) µm,","Phragmidium potentillae_118764_13133","Teliospores","((17-))(32-)43-85(-92)((-103)) x 20-29(-30.5)",64,29,NA
"Teliospores cylindrical or ellipsoid to oblong, 3-5 celled, rarely 2-celled, 28-34 x 57-95 µm,","Phragmidium papillatum_236252_65545","Teliospores","28-34 x 57-95",31,76,NA
"Teliospores spheroidal to ellipsoidal, papillate over theapical pore, 18-24 x 16-20 µm;","Uromyces striatus_117417_13893","Teliospores","18-24 x 16-20",21,18,NA
"Teliospores globose to oblong, 20-32 x 14-20 µm;","Uromyces decoratus_157417_14004","Teliospores","20-32 x 14-20",26,17,NA
"teliospores with a bilaminate wall, the inner chestnut brown, 2 µm","Uromyces decoratus_157417_14004","teliospores","2",2,NA,NA
"teliospores ellipsoid, 37-55 x 19-26 µm,","Puccinia cordiae_157491_17604","teliospores","37-55 x 19-26",46,22.5,NA
"black.Teliospores ellipsoidal, obovoidal, or occasionally +- clavate, usually slightly constricted, obtuse, 40-60 x 25-32 µm;","Puccinia purpurea_157788_13775","black.Teliospores","40-60 x 25-32",50,28.5,NA
"Teliospores ellipsoid to broadly ellipsoid or obovoid, finely verrucose, rounded at both ends, not or slightly constricted at the septum, pale yellow to chestnut brown, 20-28 x 26-38 µm,","Puccinia punctiformis_120786_52407","Teliospores","20-28 x 26-38",24,32,NA
"Teliospores cylindric, not constricted at the septa, apex rounded and usually with a small umbo or +- tapered to an apiculus up to 20 µm","Phragmidium rubi-idaei_118759_14032","Teliospores","20",20,NA,NA
"Teliospores cylindrical, 4-10 celled, 28-35 x 70-122 µm,","Phragmidium rubi-idaei_118759_65546","Teliospores","28-35 x 70-122",31.5,96,NA
"teliospores oblong-ellipsoid or broadly ellipsoid, only slightly constricted at septum, (30-) 35-43 (-46) x (20-) 22-28 (-30) µm,","Puccinia elegans_237294_17601","teliospores","(30-) 35-43 (-46) x (20-) 22-28 (-30)",39,25,NA
"Teliospores (cleared) 19-25 µm","Uromyces punctatus_157987_13002","Teliospores",") 19-25",22,NA,NA
"Teliospores long-cylindric, horizontally multiseptate into 10-32 cells, 150-400 x 15-25 µm;","Xenodochus carbonarius_158054_13696","Teliospores","150-400 x 15-25",275,20,NA
"Teliospores elongate-cylindrical, often curved, 6-15 celled, rounded at the both ends, strongly constricted, smooth but subverruculose at the apex, 97-250 x 24-28 µm,","Xenodochus carbonarius_158054_56726","Teliospores","97-250 x 24-28",173.5,26,NA
"Teliospores cinnamon brown, clavate or fusiform, constricted at septum, attenuated below, 16-21 x 43-61 µm","Puccinia conclusa_158057_54265","Teliospores","16-21 x 43-61",18.5,52,NA
"Teliospores cylindric, not constricted at the septa, rounded above and abruptly mucronate or, more often, tapered, apiculus 6-15 µm","Phragmidium mucronatum_120768_14029","Teliospores","6-15",10.5,NA,NA
"Teliospores cylindrical to ellipsoid or oblong, 3-8 celled, 27-32 x 57-110 µm;","Phragmidium mucronatum_120768_65544","Teliospores","27-32 x 57-110",29.5,83.5,NA
"teliospores on both surfaces. Teliospores unicellular, roughly cylindrical in side view, circular to irregular in cross section, 30-45 x 11-14 µm;","Melampsora medusae_158225_14447","teliospores","30-45 x 11-14",37.5,12.5,NA
"Teliospores unicellular, roughly cylindrical in side view, circular to irregular in cross section, 30-45 x 11-14 µm;","Melampsora medusae_158225_14447","Teliospores","30-45 x 11-14",37.5,12.5,NA
"teliospores clavate, 50-65 x 15-17 µm,","Uredo imperialis_344462_17598","teliospores","50-65 x 15-17",57.5,16,NA
"Teliospores ellipsoid to obovate, 18-22 x 26-30 µm;","Trichobasis betae_237932_14002","Teliospores","18-22 x 26-30",20,28,NA
"Teliospores ellipsoid, 20-23 x 25-29 µm,","Uromyces dianthi_123819_14005","Teliospores","20-23 x 25-29",21.5,27,NA
"teliospores with pedicels up to 80 µm","Uromyces dianthi_123819_14005","teliospores","80",80,NA,NA
"teliospores (21-25 x 16-19 µm).","Uromyces dianthi_123819_14005","teliospores","(21-25 x 16-19",23,17.5,NA
"Teliospores subgloboid to ovoid, rounded above with a flat hyaline papilla, 28-40 x 20-28 µm,","Uromyces colchici_123993_56733","Teliospores","28-40 x 20-28",34,24,NA
"teliospores and teliospore pedicels whose apical parts swell noticeably in fluids (Fig. 19 ). The host plant could not be determined to the species but probably belongs to sections Jussieua or Vitifoliae of Jatropha subgen. Cnidoscolus. As far as the author knows, only the teliospores of the rust have been described so far. The Argentine specimen also revealed spermogonia, aecia, and uredinia. Uromyces cnidoscoli is thus an autoecious macrocyclic species. Unfortunately, most of the aecia were old or heavily parasitised by Tuberculina sp. Therefore, the description of the aecia and aeciospores is provisional: Aecia aecidioid, in small, dense groups abaxially or adaxially on leaves, more rarely on stalks and fruit capsules, on brownish spots of the host tissue that later become necrotic, with frail white short peridium that hardly emerges from the aecidial cavity, aeciospores catenulate, broadly ellipsoidal to subglobose, often slightly angular, 23-31 x 18-24 µm,","Uromyces cnidoscoli_345131_17357","teliospores","23-31 x 18-24",27,21,NA
"teliospores of the rust have been described so far. The Argentine specimen also revealed spermogonia, aecia, and uredinia. Uromyces cnidoscoli is thus an autoecious macrocyclic species. Unfortunately, most of the aecia were old or heavily parasitised by Tuberculina sp. Therefore, the description of the aecia and aeciospores is provisional: Aecia aecidioid, in small, dense groups abaxially or adaxially on leaves, more rarely on stalks and fruit capsules, on brownish spots of the host tissue that later become necrotic, with frail white short peridium that hardly emerges from the aecidial cavity, aeciospores catenulate, broadly ellipsoidal to subglobose, often slightly angular, 23-31 x 18-24 µm,","Uromyces cnidoscoli_345131_17357","teliospores","23-31 x 18-24",27,21,NA
"teliospores transversely ellipsoidal, 28-34 µm","Uromyces cnidoscoli_345131_17357","teliospores","28-34",31,NA,NA
"Teliospores appearing in the uredia, ellipsoidal to cylindrical, rounded above, slightly constricted at septum, 30-48 x 19-22 µm,","Puccinia psidii_158855_13891","Teliospores","30-48 x 19-22",39,20.5,NA
"Teliospores ellipsoid, rounded at both ends, slightly constricted at septum, 29-38(-42) x 21-24 µm,","Puccinia nepalensis_158921_39501","Teliospores","29-38(-42) x 21-24",38,22.5,NA
"Teliospores clavate, in a single crustose layer, subepidermal, hyaline, 52-95 x (13-)15-28 µm;","Coleosporium campanulae_117318_13512","Teliospores","52-95 x (13-)15-28",73.5,15,NA
"Teliospores 32-38 x 20-26 µm,","Puccinia nakanishikii_159063_71287","Teliospores","32-38 x 20-26",35,23,NA
"Teliospores 3-celled (2 distal and 1 basal) arranged in one plane with the inner walls of each cell abutting the other two cells and all meeting at a single point, the outer wall of each cell is rounded, or slightly depressed if the spore is dessicated, 25-35 x 21-35 (face view) x 21-23 µm","Triphragmium clavellosum_345641_13515","Teliospores",") x 21-23",NA,22,NA
"Teliospores broadly ellipsoid, rounded at both ends, not or only slightly constricted at septum, 25-46 x 21-30 µm;","Uredo gentianae_120161_13679","Teliospores","25-46 x 21-30",35.5,25.5,NA
"Teliospores obovoid to ellipsoid, 28-38.4 x 19.2-25.6 µm;","Uredo geranii_120315_13716","Teliospores","28-38.4 x 19.2-25.6",33.2,22.4,NA
"Teliospores subgloboid to ovoid, 22-42 x 13-26 µm;","Uredo geranii_120315_14238","Teliospores","22-42 x 13-26",32,19.5,NA
"Teliospores (25.5-)27-43(-45) x 18-27(-29.5) µm,","Puccinia arnicalis_159441_13297","Teliospores","(25.5-)27-43(-45) x 18-27(-29.5)",35,27,NA
"Teliospores oblong, oval to obovate with truncate base, non-septate, hyaline, thin-walled, 14-42 x 9-16 µm","Chrysomyxa abietis_117235_14902","Teliospores","14-42 x 9-16",28,12.5,NA
"teliospores 2-celled, brownish orange, 38-51.5 x 18.5-25 µm,","Tremella digitata_346406_37303","teliospores","38-51.5 x 18.5-25",44.75,21.75,NA
"Teliospores ellipsoid, ends round or slightly tapered toward base, slightly or not constricted at septum, 27.2-41.6 x 14.4-22.4 µm;","Puccinia leveillei_159573_13713","Teliospores","27.2-41.6 x 14.4-22.4",34.4,18.4,NA
