"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"Teliospores ellipsoid to fusoid, 2-celled, slightly constricted, rounded or tapered, 35-40 x 17-24 µm;","Gymnosporangium globosum_145661_14861","Teliospores","35-40 x 17-24",37.5,20.5,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Uredo appendiculata_117033_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores clavate, ellipsoid or oblong, 10-14 x 26-58 µm","Puccinia rhytismoides_146154_60463","Teliospores","10-14 x 26-58",12,42,NA
"Teliospores clavate to cylindric, slightly or not constricted at septum, apex round to acute, lower cell usually tapering to base, (28-)31-84(-95) x 11-19 µm;","Puccinia ustalis_146167_13571","Teliospores","(28-)31-84(-95) x 11-19",57.5,15,NA
"Teliospores mostly 2-celled, occasionally 1-or 3-celled teliospores co-exist, ellipsoid, oblong to cylindrical or irregular, conical or rounded above and narrowed below, constricted at the septum, yellowish brown, pale brown basally; 2-celled spores 10-16 x 33-63 µm,","Puccinia ustalis_146167_70698","Teliospores","10-16 x 33-63",13,48,NA
"teliospores co-exist, ellipsoid, oblong to cylindrical or irregular, conical or rounded above and narrowed below, constricted at the septum, yellowish brown, pale brown basally; 2-celled spores 10-16 x 33-63 µm,","Puccinia ustalis_146167_70698","teliospores","10-16 x 33-63",13,48,NA
"Teliospores ellipsoid to obovate, 18-22 x 26-30 µm;","Uromyces betae_117437_14002","Teliospores","18-22 x 26-30",20,28,NA
"teliospores pedicellate, in clavate or elongate-cuneate chains of 2-4 probasidial cells, oblong or ellipsoid, upper part ending in digital or crown-1ike projections or attenuate or flat, each cell 24-60 x 17-24 µm,","Uromyces loesenerianus_245092_17599","teliospores","24-60 x 17-24",42,20.5,NA
"Teliospores ellipsoid, not or slightly constricted at septum, 37-73 x 18-29 µm;","Gymnosporangium tremelloides_117381_13368","Teliospores","37-73 x 18-29",55,23.5,NA
"Teliospores ellipsoid to fusoid, 2-celled, slightly constricted, rounded or tapered, 40-60 x 20-30 µm;","Gymnosporangium tremelloides_117381_14864","Teliospores","40-60 x 20-30",50,25,NA
"Teliospores ellipsoid, 30-56 x 15-27µm,","Gymnosporangium nidus-avis_146630_13366","Teliospores","30-56 x 15-27",43,21,NA
"teliospores 2-celled, ellipsoid or ovoid, 41.0-55.5 x 18.0-26.5 µm,","Gymnosporangium nidus-avis_146630_37302","teliospores","41.0-55.5 x 18.0-26.5",48.25,22.25,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Caeoma appendiculatum_324169_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores ellipsoid to oblong, moderately constricted at septum, apex round to obtuse, base slightly tapered, 27-43 x 13-20 µm;","Puccinia campanulae_146657_13514","Teliospores","27-43 x 13-20",35,16.5,NA
"Teliospores ellipsoid to broadly ellipsoid or obovoid, rounded at both ends, not or slightly constricted at the septum, 19-26 x (23-)25-36 µm","Puccinia variabilis_119873_52406","Teliospores","19-26 x (23-)25-36",22.5,25,NA
"Teliospores ellipsoid, slightly or not constricted at septum, lower cell occasionally slightly tapered to base, 25-50(-55) x 15-24 µm;","Puccinia calthae_119008_13573","Teliospores","25-50(-55) x 15-24",50,19.5,NA
"Teliospores globose to subglobose or ovoid to ellipsoid, 17.7-23.7 x 29.3-37.8 µm","Uromyces ferulae_146810_70694","Teliospores","17.7-23.7 x 29.3-37.8",20.7,33.55,NA
"Teliospores pale to dark yellow-brown, narrowly ellipsoid to clavate, slightly constricted at septum, 42-71 x (13-)15-20 µm;","Puccinia volkartiana_146841_13459","Teliospores","42-71 x (13-)15-20",56.5,15,NA
"Teliospores normally 2-celled, (29-)32-60(-62) x (10-)11-20(-22) µm,","Puccinia triticina_118929_13698","Teliospores","(29-)32-60(-62) x (10-)11-20(-22)",46,15.5,NA
