"Species_names","spore_length","spore_width","SporeArea","spore_type","Phylum","Source"
"Cortinarius_semisanguineus",6.5,4.3,62.9287188452815,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_sodagnitus",9.5,5.5,150.469198137561,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_solis-occasus",10,6.8,242.112073836653,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_sommerfeltii",7.5,4.5,79.5215640439916,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_spilomeus",7.5,6,141.371669411541,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_splendens",10.5,5.8,184.945559516831,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_stillatitius",14.5,8,485.899663755221,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_subporphyropus",11,6.3,228.597989438461,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_subtortus",8.3,6,156.451314148772,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_tortuosus",9.8,5.5,155.220857026116,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_torvus",10.8,6.5,238.918121305504,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_traganus",8.5,5.5,134.630335175713,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_transiens",8.8,7.3,245.542693014373,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_triumphans",11.5,6.5,254.403555093823,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_trivialis",11.5,6.8,278.428884912151,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_uliginosus",9.8,5.8,172.615855549042,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_umbrinolens",9,5.3,132.371006459006,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_variecolor",10.8,6,203.575203952619,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_varius",10.5,6,197.920337176157,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_venetus",7,5.8,123.297039677887,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_violaceus",12.5,7.8,398.196868842506,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_ambrosii",4.3,2.5,14.0717170942043,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_amianthinum",5.5,3.3,31.3609486644601,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_bucknallii",8,3,37.6991118430775,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_carcharias",4.8,3.5,30.78760800518,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_cinnabarina",4.5,2.3,12.4642688531175,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_granulosa",4.3,2.5,14.0717170942043,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_hetieri",5.3,2.5,17.3442094416936,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_jasonis",6.8,3.8,51.4132109735482,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cystoderma_seminuda",4,2.3,11.07935009166,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Delicatula_integrella",7.8,4.5,82.7024266057513,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Dendrocollybia_racemosa",5.5,2.3,15.2341063760325,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Echinoderma_aspera",8,3,37.6991118430775,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Echinoderma_calcicola",5,3,23.5619449019235,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Echinoderma_carinii",4,2.5,13.0899693899575,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_albotomentosum",10.8,7,277.08847204662,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_allochroum",10.8,8.3,389.563772230442,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_alpicola",9,8,301.59289474462,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_ameides",10.3,7.5,303.360040612264,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_aprile",10,8.5,378.300115369771,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_araneosum",12,7.5,353.429173528852,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_byssisedum",10.8,7.8,344.042094679925,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Entoloma_carneogriseum",10.8,7.8,344.042094679925,"Basidiospores","Basidiomycota","Bassler_etal_2015"
