Species,spore_type,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Aspergillus_ardalensis,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.3299272260200072,0.04588518667782268,35,258.3142857142857,24.488916674220697,628.4871428571429,455.13090156317764,103.29002960812323,24644.120952380952,0.8735952360289435,247.95229278189447,4.177939609743937,248.56468004283965,141.94816713781387,23.9803287461003,1831.5164716933402,0.22491887354897117,11936033.480650155,0.5968016740325077,473442351252.11914,0.0031919039902115545
Aspergillus_arenarioides,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.351202755361317,0,19,710.1578947368421,21.830416697891128,318.4394736842105,292.1753329037941,111.66693995317316,24401.102631578946,0.7568420963852028,350.13065230597925,3.1188169176591027,332.99981630748493,80.29791874870098,12.903190721172704,1029.8161360264596,0.3434181156951352,17363908.056500185,0.8681954028250093,7741383835051.473,0.05219168476903221
Aspergillus_arenarius,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,0.9866456823318754,0,3,66.33333333333333,26.7534723083178,846.5,358.07353972231067,114.48957677040633,24672.083333333332,1.1233333150545757,69.0820767879291,0.5954555847391841,121.63906650414577,33.0026054376953,3.3083915572269587,319.99026677905897,0.2594505187250901,165352.26819928022,0.00826761340996401,9912860221.450306,6.683157518877543e-5
Aspergillus_asperescens,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,2.053452373461421,0,10,75.2,17.096062515998902,754.43,426.3920860954621,40.71610828871962,26778.7,1.0799999952316286,54.739382532140425,3.4919956777597827,664.3091286776394,130.6953378403134,11.989915615483476,2343.964497740242,0.5401234082920976,16237577.139065264,0.8118788569532632,27482408194073.637,0.18528382208158806
Aspergillus_astellatus,Meiospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,2.053452373461421,0,4,931,19.7822916706403,103.5,272.241142783864,114.307033560556,24540.5,0.589999988675117,0,0,0,0,0,0,0,NA,NA,NA,NA
Aspergillus_aureolatus,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.5251785962943774,0,1,489,19.9781250258287,902.25,463.774209013228,82.9538769102695,21818.5,0.930000007152557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aspergillus_auricomus,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.5002797035651847,0,8,223.75,25.128385494152713,2212.989583333334,146.58379642231128,88.34198285510465,24031.59375,2.129374951124191,72.21940775956874,2.4271133276219663,1614.9799279045922,171.85781569626107,31.01756408858375,851.5985067748014,0.5516755913779278,16255414.731093751,0.8127707365546876,14495637753878.756,0.09772823209605028
Aspergillus_austroafricanus,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.351202755361317,0,288,286.62847222222223,15.197006664029288,714.4590277777778,608.5999878242229,57.024782915978015,25124.99641203704,0.7516967582481876,451.9727769488825,4.49272906001468,486.005500686108,310.45296016689616,31.554467970234857,3405.1792345661593,0.4111933001891652,19100689.354866292,0.9550344677433146,33630034466459.69,0.22673054263217293
Aspergillus_awamori,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,2.053452373461421,0,178,397.7696629213483,19.56605402910673,1410.3499533730615,259.9609983585074,69.65020819608267,23196.432879668384,1.7095644154416985,474.11363364233205,10.640798350225428,560.8429602761395,270.59713556126025,30.55791819683984,3440.6865513898597,0.8941926077849385,18319322.305278666,0.9159661152639333,45167193871444.24,0.304512990786809
Aspergillus_baeticus,Mitospores,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA,NA,1.4753808108359923,0,2,691,20.4308333516121,569.05,207.8418986432035,105.95552993910499,22190.45,1.0217500075697905,700.035713374682,0.05067592079794638,768.6957818278958,16.068999921021636,4.486221536472738,1848.4478366997528,0.06257895156800311,NA,NA,NA,NA
